time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
906730200,320000000,480000000,320000000,480000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.711329799149492,4.903209811520965,2,2,1,0,0,2.7121669138492965,2.4799510853775137,39.7262513790428,0,0,0,34.66,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00015938,0,0,0,0,1,0,23,19,0,0,0,NaN
907075800,320000000,320000000,224000000,240000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.832833890124043,5.193403070958977,5,2,2,0,0,4.640806996553434,2.4799510853775137,47.69089121972293,0,0,0,34.87,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00004063,0,0,0,0,1,0,23,19,0,0,0,NaN
907162200,260000000,260000000,240000000,240000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.832833890124043,5.193403070958977,2,2,3,0,0,4.640806996553434,2.4799510853775137,47.69089121972293,0,0,0,36.08,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00006594,0,0,0,0,1,0,23,19,0,0,0,NaN
907335000,224000000,224000000,224000000,224000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.066207877932201,5,2,4,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,43.48,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00007813,0,0,0,0,1,0,23,19,0,0,0,NaN
907680600,260000000,270000000,240000000,270000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.869754339055125,2,2,5,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,42.81,1,NaN,NaN,0,2,0,0,0,1,0,0,0,0,NaN,0.0000425,0,0,0,0,1,0,23,19,0,0,0,NaN
907767000,280000000,300000000,260000000,280000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.432248390562068,4.882814739787889,2,2,6,0,0,3.367547451497093,2.4799510853775137,42.39375192994378,0,0,0,41.2,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00011781,0,0,0,0,1,0,23,19,0,0,0,NaN
908199000,260000000,260000000,260000000,260000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.066207877932201,5,2,7,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,41.78,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00001563,0,0,0,0,1,0,23,19,0,0,0,NaN
908285400,240000000,240000000,240000000,240000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.066207877932201,5,2,8,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,40.07,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00001594,0,0,0,0,1,0,23,19,0,0,0,NaN
908458200,340000000,340000000,340000000,340000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.066207877932201,2,2,9,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,38.96,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,0.00000313,0,0,0,0,1,0,23,19,0,0,0,NaN
908544600,270000000,270000000,270000000,270000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.066207877932201,5,2,10,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,33.34,1,NaN,NaN,0,2,0,0,0,1,0,0,0,0,NaN,0.00008281,0,0,0,0,1,0,23,19,0,0,0,NaN
908890200,240000000,240000000,227200000,227200000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.832833890124043,5.193403070958977,5,2,11,0,0,4.640806996553434,2.4799510853775137,47.69089121972293,0,0,0,33.13,1,NaN,NaN,0,2,0,0,0,2,0,0,0,0,NaN,0.000625,0,0,0,0,1,0,23,19,0,0,0,NaN
909063000,227200000,227200000,227200000,227200000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.014602869120148,3.7229229495172276,2,2,12,0,0,2.078778795640803,2.4799510853775137,37.20484141600848,0,0,0,33.21,1,NaN,NaN,0,2,0,0,0,3,0,0,0,0,NaN,0.00006719,0,0,0,0,1,0,23,19,0,0,0,NaN
910017000,240000000,240000000,240000000,240000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.656395559405117,5.066207877932201,0,2,13,0,0,3.571317604990773,2.4799510853775137,43.23302959388803,0,0,0,28.05,1,NaN,NaN,0,2,0,0,0,4,0,0,0,0,NaN,0.0000375,0,0,0,0,1,0,23,19,0,0,0,NaN
910103400,256000000,256000000,240000000,240000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.699548917843813,5.106161998193736,0,2,14,0,0,4.519638839935043,2.4799510853775137,47.18263316287454,0,0,0,27.26,1,NaN,NaN,0,2,0,0,0,5,0,0,0,0,NaN,0.00009375,0,0,0,0,1,0,23,19,0,0,0,NaN
910189800,243200000,243200000,243200000,243200000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.114602869120149,3.7229229495172276,0,2,15,0,1,2.078778795640803,2.4799510853775137,41.21197085099946,0,0,0,27.76,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,29.614325068870528,0.0000375,0,0,0,0,1,0,23,19,0,0,0,NaN
910708200,270000000,270000000,270000000,270000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.4244753111646125,4.876454947553607,0,2,16,0,0,3.3604810156812244,2.4799510853775137,42.364722737375146,0,0,0,28.09,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,32.9464015342687,0.0000375,0,0,0,0,1,0,23,19,0,0,0,NaN
911485800,320000000,480000000,304000000,480000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.916064835782001,6.135325189895121,0,2,17,0,0,3.8073805835152146,2.4799510853775137,44.21016135357097,0,0,0,27.13,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,52.08692805743422,0.00018906,0,0,0,0,1,0,23,19,0,0,0,NaN
911572200,480000000,480000000,480000000,480000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,3.975208427390593,2.872509315374864,0,2,18,0,0,1.1338747577048431,2.4799510853775137,33.5725878689791,0,0,0,25.5,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,52.08692805743422,0.00000313,0,0,0,0,1,0,23,19,0,0,0,NaN
911831400,420000000,440000000,400000000,400000000,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.430670450397629,5.241619193929758,3,2,19,0,0,4.385655352550733,2.3694996023562016,46.15919714598996,0,0,0,22.47,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,46.253588203879694,0.00001875,0,0,0,0,1,0,23,19,0,0,0,NaN
911917800,400000000,400000000,380000000,390000000,0,0,0,0,0,0,0,0,302080000,NaN,NaN,3.8998265102687166,2.930521342209015,0,2,20,0,0,1.1757972251608133,2.3694996023562016,33.315972569524185,0,0,0,21.84,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,45.56663026947678,0.00003438,0,0,0,0,1,0,23,19,0,0,0,NaN
912004200,280000000,360000000,280000000,360000000,0,0,0,0,0,0,0,0,307596190.47619045,NaN,NaN,6.64858533679921,6.217949836441693,3,2,21,0,0,3.674668885643079,2.3694996023562016,43.203717329260286,0,0,0,23.28,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,43.48029942502872,0.00002187,0,0,0,0,1,0,23,19,0,0,0,NaN
912436200,320000000,320000000,320000000,320000000,0,0,0,0,0,0,0,0,308777505.6689342,NaN,NaN,5.69460488724597,5.409839366472407,3,2,22,0,0,3.119111274481633,2.057802259378339,39.66502127370495,0,0,0,22.09,0,NaN,NaN,0,0,0,0,0,2,0,0,0,0,40.798050401135875,0.00000313,0,0,0,0,1,0,23,19,0,0,0,NaN
912522600,280000000,280000000,270000000,270000000,0,0,0,0,0,0,0,0,305084409.8909405,NaN,NaN,7.293867377495479,5.554390494001918,3,2,23,0,0,4.472377877624545,2.1584106473713445,45.63966709231164,0,0,0,26.01,1,NaN,NaN,0,0,0,0,0,3,0,0,0,0,37.66984607873198,0.00006719,0,0,0,0,1,0,23,19,0,0,0,NaN
912609000,320000000,320000000,320000000,320000000,0,0,0,0,0,0,0,0,306504942.2822795,NaN,NaN,5.758709292125857,5.462288425010497,0,2,24,0,0,3.177388006190622,2.057802259378339,39.899882452168775,0,0,0,24.97,0,NaN,NaN,0,0,0,0,0,4,0,0,0,0,42.424087329790844,0.00001875,0,0,0,0,1,0,23,19,0,0,0,NaN
912695400,280000000,310000000,280000000,310000000,0,0,0,0,0,0,0,0,306837804.9220624,NaN,NaN,6.279535932235932,6.328319101788049,3,2,25,0,0,3.5502583819340474,2.1584106473713445,41.824420560525795,0,0,0,25.43,1,NaN,NaN,0,0,0,0,0,5,0,0,0,0,41.738388555186816,0.00001719,0,0,0,0,1,0,23,19,0,0,0,NaN
912781800,310000000,310000000,310000000,310000000,0,0,0,0,0,0,0,0,307138966.3580564,NaN,NaN,2.452505242136478,2.398304037589699,0,2,26,0,0,0.0711395727527262,2.1584106473713445,28.592141026407482,0,0,0,28.7,1,NaN,NaN,0,0,0,0,0,6,0,0,0,0,41.738388555186816,0.00000375,0,0,0,0,1,0,23,19,0,0,0,NaN
913127400,240000000,240000000,200000000,200000000,0,0,0,0,0,0,0,0,296935255.2763368,NaN,NaN,13.377571529590684,5.53413626394703,7,2,27,0,5,4.791929060908055,2.3694996023562016,68.0388963784554,0,0,0,24.9,0,NaN,NaN,0,2,0,0,0,7,0,0,0,0,34.603285459945084,0.00049844,0,0,0,0,1,0,23,19,0,0,0,NaN
913213800,240000000,240000000,220000000,240000000,0,0,0,0,0,0,0,0,291512850.0119238,NaN,NaN,6.397670641600976,4.854523854274269,2,2,28,0,0,3.3361131342597368,2.4799510853775137,42.26465906928643,0,0,0,25.58,1,NaN,NaN,0,2,0,0,0,8,0,0,0,0,38.70655986783771,0.00004375,0,0,0,0,1,0,23,19,0,0,0,NaN
913300200,160000000,160000000,160000000,160000000,0,0,0,0,0,0,0,0,278987816.6774548,NaN,NaN,NaN,4.767848543596992,5,2,29,0,0,3.239807233507208,NaN,NaN,0,0,0,25.66,1,NaN,NaN,0,2,0,0,0,9,1,0,0,0,34.09843950333469,0.00004688,0,0,0,0,1,0,23,19,0,NaN,0,NaN
913645800,220800000,220800000,220800000,220800000,0,0,0,0,0,0,0,0,273446119.8510306,NaN,NaN,6.535462429910543,4.838907132912443,2,2,30,0,0,3.318761221635486,2.622568260101371,42.77970337375165,0,0,0,27.72,1,NaN,NaN,0,2,0,0,1,10,0,0,0,0,39.94974007227489,0.00007875,0,0,0,0,1,0,23,19,0,0,0,NaN
913991400,260000000,260000000,260000000,260000000,0,0,0,0,0,0,0,0,272165537.0080753,NaN,NaN,5.942090181420524,5.136066119172587,2,2,31,0,0,3.1130974411781573,2.2888027237495923,40.574277132290504,0,0,0,27.96,1,NaN,NaN,0,0,0,0,1,0,0,0,0,0,43.43678820342505,0.00000125,0,0,0,0,1,0,23,19,0,0,0,NaN
914337000,160000000,160000000,160000000,160000000,0,0,0,0,0,0,0,0,261483104.91206813,NaN,NaN,6.224571647527061,4.919514463996679,5,2,32,0,0,3.150630137670499,2.508071360081374,41.62003037381833,0,0,0,23.86,0,NaN,NaN,0,2,0,0,1,1,0,0,0,0,37.46069339765476,0.00000938,0,0,0,0,1,0,23,19,0,0,0,NaN
914941800,160000000,160000000,160000000,160000000,0,0,0,0,0,0,0,0,251818047.30139497,NaN,NaN,2.833041549768604,2.144626202194305,2,2,33,0,0,0.06742095789008395,2.508071360081374,29.795012507523456,0,0,0,23.5,0,NaN,NaN,0,2,0,0,1,0,0,0,0,0,37.46069339765476,0.00000313,0,0,0,0,1,0,23,19,0,0,0,NaN
915028200,192000000,192000000,192000000,192000000,0,0,0,0,0,0,0,0,246121090.41554782,NaN,NaN,6.634696980766151,5.25507155482866,2,2,34,0,0,3.523471349706035,2.508071360081374,43.15160520881502,0,0,0,22.18,0,NaN,NaN,0,2,0,0,1,1,0,0,0,0,40.49881220941907,0.00011781,0,0,0,0,1,0,23,19,0,0,0,NaN
915805800,224000000,224000000,224000000,224000000,0,0,0,0,0,0,0,0,244014319.89978135,NaN,NaN,6.464382323509899,5.240437780844384,2,2,35,0,0,3.5072116008346157,2.3694996023562016,42.513814200363065,0,0,0,24.37,0,NaN,NaN,0,2,0,0,0,2,0,0,0,0,43.456931921423724,0.00011875,0,0,0,0,1,0,23,19,0,0,0,NaN
916151400,160000000,160000000,160000000,160000000,0,0,0,0,0,0,0,0,236012956.09980217,NaN,NaN,6.501899492966202,4.939802005391271,5,2,36,0,0,3.4308666355008515,2.4799510853775137,42.654101627391036,0,0,0,25.46,1,NaN,NaN,0,2,0,0,0,0,0,0,0,0,39.25368221482865,0.00009375,0,0,0,0,1,0,23,19,0,0,0,NaN
916237800,260000000,260000000,260000000,260000000,0,0,0,0,0,0,0,0,238297436.47124958,NaN,NaN,5.802663588883977,4.657086296256821,2,2,37,0,0,3.116738069795907,2.1584106473713445,40.06118875175382,0,0,0,28.1,1,NaN,NaN,0,0,0,0,0,0,0,0,0,0,47.75650389157387,0.00000188,0,0,0,0,1,0,23,19,0,0,0,NaN
916756200,192000000,192000000,192000000,192000000,0,0,0,0,0,0,0,0,233888156.80732104,NaN,NaN,6.16889853637276,4.956733071474917,5,2,38,0,0,3.4496789311493465,2.1584106473713445,41.41329771363525,0,0,0,29.24,1,NaN,NaN,0,0,0,0,0,0,0,0,0,0,43.31643771567379,0.00009375,0,0,0,0,1,0,23,19,0,0,0,NaN
916929000,260000000,260000000,260000000,260000000,0,0,0,0,0,0,0,0,236374999.0161476,NaN,NaN,5.808392300396066,4.66177342385762,2,2,39,0,0,3.121945989352351,2.1584106473713445,40.08222830084174,0,0,0,28.6,1,NaN,NaN,0,0,0,0,0,0,0,0,0,0,48.47533387996059,0.00000313,0,0,0,0,1,0,23,19,0,0,0,NaN
