time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,25.62,25.75,25.35001,25.69,0,0,0,0,0,0,0,0,24.99618242315831,24.09129789338615,23.194374450000012,5.408126369615209,13.363616907933855,0,2,43,0,0,2.8586762584536696,2.057802259378339,38.62138918545966,0,0,0,21.57001,0,23.27255278310941,0.23300970873785912,0,0,0,0,0,0,0,0,0,0,66.86095192202366,2448178,0,0,0,0,0,3,21,17,0,0,0,1
1288877400,26.14999,26.34,26.07001,26.3,0,0,0,0,0,0,0,0,25.12035552571466,24.16371435589808,23.207024450000013,5.480793912698257,14.748719894740345,0,2,44,0,0,2.9247376612564397,2.057802259378339,38.885168182803845,0,0,0,19.56,0,26.199616122840695,0.15186028853454497,0,0,0,0,0,0,0,0,0,0,73.07886501337381,2715006,0,0,0,0,0,3,21,17,0,0,0,1
1288963800,26.27,26.41,26.17,26.41,0,0,0,0,0,0,0,0,25.24317880897993,24.237363065540766,23.22147445000001,4.690416597006283,12.629595549583817,0,2,45,0,0,2.206212828809191,2.057802259378339,36.05405375116797,0,0,0,18.52,0,26.7274472168906,0,0,0,0,0,0,0,0,0,0,0,74.025325034008,2701189,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,26.31,26.49001,26.228,26.48,0,0,0,0,1,0,0,0,25.360971303362795,24.3108921453591,23.235724450000006,4.555609961997976,12.49172512741623,0,2,46,0,0,2.0836613424380026,2.057802259378339,35.580111003193124,0,0,0,18.25999,0,27.06333973128599,0.03778783020467408,0,0,0,0,0,0,0,0,0,0,74.63642108972945,1792740,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,26.73,26.92,26.25999,26.3,0,0,0,0,0,0,0,0,25.450402607804435,24.376108796330936,23.250374450000013,7.08049128891239,13.300491879527362,0,2,47,0,0,4.379008003269288,2.057802259378339,44.831271289409116,0,0,0,18.28999,0,26.199616122840695,2.303120356612188,0,0,0,0,0,0,0,0,0,0,70.07123703272539,3435740,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,26.55,26.66,26.33,26.58,0,0,0,0,0,0,0,0,25.557983311823058,24.448367524320087,23.26812445000001,5.623611920911334,14.894783766776447,0,2,48,0,0,3.054572214177419,2.057802259378339,39.40547751370609,0,0,0,19.08,0,27.543186180422257,1.2630014858841137,0,0,0,0,0,0,0,0,0,0,72.85288041695347,1735436,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,26.58,26.58,26.3299,26.36,0,0,0,0,0,0,0,0,25.634365853554197,24.511043998932543,23.285174450000014,6.533630189974397,12.942546432949769,0,2,49,0,0,3.881861549689294,2.057802259378339,42.77284421023359,0,0,0,18.47,0,26.487523992322455,2.0802377414561746,0,0,0,0,0,1,0,0,0,0,67.5412130112775,1847318,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,25.92,25.98,25.23,25.25999,0,0,1,0,0,0,0,0,25.59871101035856,24.53559960552492,23.298024400000013,7.866027235504087,0,0,2,50,0,0,4.557291159222433,2.593642691235828,47.81754655524046,0,0,0,18.64,0,21.209165067178496,6.166456166419032,0,0,0,0,0,2,0,0,1,0,48.500317693925595,1832918,0,0,0,0,0,3,21,17,0,0,1,1
1289831400,25.46001,25.52,25.3,25.3,0,0,0,0,0,0,0,0,25.570262342705362,24.560661913540496,23.308324350000017,7.366311616916139,0,0,2,51,0,0,4.103004233233389,2.593642691235828,45.91467398047993,0,0,0,20.61,0,21.401151631477934,6.017830609212485,0,0,0,0,0,3,0,0,1,0,49.062801682696644,2162557,0,0,0,0,0,3,21,17,0,0,1,1
1289917800,25.06,25.07001,24.50999,24.55,0,0,0,0,0,0,0,0,25.473094500542945,24.560312342604742,23.312374300000016,13.436572843000084,0,0,2,52,0,5,4.444882645765411,2.7701835751437556,68.23479940903479,0,0,0,20.2,0,17.802303262955856,8.803863298662709,0,0,0,0,0,4,0,0,1,0,40.19936405665832,3073350,0,0,0,0,0,3,21,17,0,0,1,1
