time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,47.32001,47.53,46.74001,47.5,0,0,0,0,0,0,0,0,46.132613755817566,44.28956753530026,41.22096820000006,5.544838093841806,13.503435716801965,0,2,45,0,0,2.982959644114211,2.057802259378339,39.11818624581805,0,0,0,21.57001,0,34.904818260489,0.063118030717444,0,0,0,0,0,0,0,0,0,0,67.64515207881931,94128432,0,0,0,0,0,3,21,17,0,0,0,1
1288877400,48.22,48.58,48.17,48.58,0,0,0,0,0,0,0,0,46.36569816002542,44.43023745217566,41.261330650000055,5.969353270619986,13.937598965779648,0,2,46,0,0,3.368882532094375,2.057802259378339,40.67484983952727,0,0,0,19.56,0,37.97212781251696,0,0,0,0,0,0,0,0,0,0,0,73.51904280147963,83569376,0,0,0,0,0,3,21,17,0,0,0,1
1288963800,48.33,48.60001,48.28999,48.49001,0,0,0,0,0,0,0,0,46.56801357335633,44.56334474882564,41.305730700000055,4.326768512185099,12.25768273556215,0,2,47,0,0,1.8756236607899326,2.057802259378339,34.78204033612352,0,0,0,18.52,0,37.71654708419567,0.22633740198818772,0,0,0,0,0,0,0,0,0,0,72.34055920691117,53781568,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,48.10989,48.33,47.99001,48.295,0,0,0,0,0,0,0,0,46.73248847113192,44.685694101323165,41.34770575000006,4.347992970893559,12.279389568332167,0,2,48,0,0,1.894918623252169,2.057802259378339,34.85570900346082,0,0,0,18.25999,0,37.162698902954034,0.6275924634583322,0,0,0,0,0,0,0,0,0,0,69.7319859070217,37107504,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,48.53,48.62,47.52,47.67999,0,0,0,0,0,0,0,0,46.8227267119765,44.78386773734535,41.39075565000005,6.510393795963876,0,0,2,49,0,0,3.860737555134275,2.057802259378339,42.685880758673875,0,0,0,18.28999,0,35.416008118145946,1.9333813245577969,0,0,0,0,0,0,0,0,0,0,62.123674231128724,55352368,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,47.94,48.11,47.3701,48.03,0,0,0,0,1,0,0,0,46.93770512035969,44.89029830333403,41.436055650000064,4.965121928883909,12.349462491881553,0,2,50,0,0,2.455944948697942,2.057802259378339,37.028216929780044,0,0,0,19.08,0,36.410072022132354,1.2134923899629706,0,0,0,0,0,1,0,0,0,0,64.49775267758821,66304816,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,47.56,47.60001,47.3,47.56,0,0,0,0,0,0,0,0,46.99697129937305,44.977829506503404,41.480355650000064,4.549653177230701,0,0,2,51,0,0,2.0782460835586622,2.057802259378339,35.55923286209197,0,0,0,18.47,0,35.07522434671279,2.180172768408053,0,0,0,0,0,2,0,0,0,0,59.13742067683568,48410336,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,46.89,47.13,46.22,46.41,0,0,1,0,0,0,0,0,46.941069270861334,45.02478591612624,41.52100565000006,9.592025897775477,0,0,2,52,0,2,3.7662174773202013,2.953806066112051,54.403900816131156,0,0,0,18.64,0,31.809107694090404,4.545454545454548,0,2,0,0,0,3,0,0,1,0,48.51330813137439,88811872,0,0,0,0,0,3,21,17,0,0,1,1
1289831400,46.64,46.88,46.36,46.39,0,0,0,0,0,0,0,0,46.88858648316025,45.0695470336303,41.55640565000006,7.826765705664288,0,0,2,53,0,2,2.5215988593680687,2.593642691235828,47.66774010418302,0,0,0,20.61,0,31.752305665349155,4.586589880707521,0,0,0,0,0,4,0,0,1,0,48.350622501640984,48594528,0,0,0,0,0,3,21,17,0,0,1,1
1289917800,45.91,45.96001,45.02,45.1675,0,0,0,0,0,0,0,0,46.72467348476404,45.07275860629816,41.584093150000065,13.243825707878983,0,0,2,54,0,5,4.269657977473501,2.7701835751437556,67.59246039400979,0,0,0,20.2,0,28.280281658539717,7.1009872480460725,0,0,0,0,0,5,0,0,1,0,39.60745505333524,136590496,0,0,0,0,0,3,21,17,0,0,1,1
