time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,39.96,40.12,39.44,40.08,0,0,0,0,0,0,1,0,40.174311487317844,39.66729445599621,39.60612000000006,7.0323427323002425,6.849236796839086,0,3,7,0,2,2.8599080808882187,2.953806066112051,44.64921746581734,1,0,0,21.57001,0,9.508196721311467,6.442577030812337,0,2,0,0,0,7,0,0,1,0,49.80130257479925,5756456,0,0,0,0,0,3,21,17,0,0,1,1
1288877400,40.6,41.04,40.6,41,0,0,0,0,1,0,1,0,40.25294848852567,39.710989719734044,39.60552000000006,5.091864991387096,13.69805944379988,0,3,8,0,0,3.3421307236598525,2.3154970445480325,37.481315243042545,1,0,0,19.56,0,12.021857923497263,4.295051353874891,0,0,0,0,0,0,0,0,0,1,60.02671086431698,5544280,0,0,0,0,0,3,21,17,0,0,0.5,1
1288963800,41.16,41.36,41.08,41.36,0,0,0,0,0,0,1,0,40.35838196580894,39.765055630562436,39.60892000000007,4.512269305333633,13.166896364159863,0,3,1,0,0,2.9558303021034753,2.057802259378339,35.4283304972967,1,0,0,18.52,0,13.00546448087431,3.454715219421111,0,0,0,0,0,0,0,0,0,0,63.186745078923195,4464708,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,41.3596,41.48,41.24,41.36,0,0,0,0,0,0,1,0,40.45377415954142,39.81734888857678,39.610720000000065,3.6635427983986117,11.870230867453579,0,3,2,0,0,2.012800849953452,2.057802259378339,32.51805071240836,2,0,0,18.25999,0,13.00546448087431,3.454715219421111,0,0,0,0,0,0,0,0,0,0,63.186745078923195,3008616,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,41.8,41.88,40.96,41.08,0,0,0,0,0,0,1,0,40.51341471577557,39.85874728567262,39.613320000000066,7.081165281950898,0,0,2,3,0,0,4.379620724213385,2.057802259378339,44.83382070995926,2,0,0,18.28999,0,12.240437158469938,4.108309990662944,0,0,0,0,0,0,0,0,0,0,58.98085551563517,5488560,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,41.6,41.66,41.08,41.54,0,0,0,0,0,0,1,0,40.611184742844564,39.913870325486634,39.61942000000006,6.254840100794974,12.198983954727947,0,2,4,0,0,3.628416014071637,2.057802259378339,41.732551466780194,1,0,0,19.08,0,13.497267759562833,3.0345471521942207,0,0,0,0,0,0,0,0,0,0,63.30253388624649,7087004,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,41.32,41.4,41.12,41.32,0,0,0,0,0,0,1,0,40.678690957811746,39.95997293776576,39.62642000000006,4.744424413265847,0,0,2,5,0,0,2.255310843590612,2.057802259378339,36.24470143985644,1,0,0,18.47,0,12.896174863387975,3.5480859010270844,0,0,0,0,0,1,0,0,0,0,60.044265081758645,6730768,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,41.2,41.44,40.92,41,0,0,0,0,0,0,1,0,40.70929181897253,39.99407218570787,39.63462000000006,5.5775367886976595,0,0,2,6,0,0,3.012685730346805,2.057802259378339,39.23734938358378,1,0,0,18.64,0,12.021857923497263,4.295051353874891,0,0,0,0,0,2,0,0,0,0,55.564309399313935,6596320,0,0,0,0,0,3,21,17,0,0,0,1
1289831400,41.32,41.36,41,41,0,0,0,0,0,0,1,0,40.73697831240372,40.02705342552073,39.640820000000055,6.051338774519704,0,0,2,7,0,0,3.443414808366846,2.057802259378339,40.97776010796816,2,0,0,20.61,0,12.021857923497263,4.295051353874891,0,0,0,0,0,3,0,0,0,0,55.56430939931393,3794030,0,0,0,0,0,3,21,17,0,0,0,1
1289917800,40.72,40.76,40.14,40.28,0,0,1,0,0,0,1,0,40.69345656836527,40.035346755831526,39.63962000000006,9.391878745369521,0,0,2,8,0,2,3.7678880115558084,2.7701835751437556,53.6436292432178,2,0,0,20.2,0,10.054644808743168,5.975723622782452,0,0,0,0,0,4,0,0,1,0,46.509213320184664,5005300,0,0,0,0,0,3,21,17,0,0,1,1
