time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,46.64,47.03,46.09,46.99001,0,0,0,0,1,0,0,0,45.298615789871725,43.497182019963304,41.100257699999936,5.873041868436187,13.839098668091673,0,2,38,0,0,3.281326711927285,2.057802259378339,40.31991528496348,0,0,0,21.57001,0,29.663347223138185,0.08503083138422937,0,0,0,0,0,0,0,0,0,0,67.43651095289596,30709728,0,0,0,0,0,3,21,17,0,0,0,1
1288877400,47.58,47.94,47.53999,47.88,0,0,0,0,0,0,0,0,45.544461905122034,43.64088097012844,41.14160769999994,5.843712797927839,13.809103027799043,0,2,39,0,0,3.2546639205560597,2.057802259378339,40.21202860906588,0,0,0,19.56,0,32.11916884128897,0.1251564455569361,0,0,0,0,0,0,0,0,0,0,71.65712580344656,23943360,0,0,0,0,0,3,21,17,0,0,0,1
1288963800,47.73,47.94,47.57001,47.828,0,0,0,0,0,0,0,0,45.76194172368184,43.778163561271775,41.18539764999994,4.681053153938703,12.620019300991974,0,2,40,0,0,2.197700607838663,2.057802259378339,36.021045263701424,0,0,0,18.52,0,31.975681022163087,0.233625365039622,0,0,0,0,0,0,0,0,0,0,71.07745747095265,12235191,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,47.91,47.99001,47.675,47.92999,0,0,0,0,0,0,0,0,45.96842251190262,43.914289018279256,41.22659759999994,3.899797457878976,11.821007793658161,0,2,41,0,0,1.487468156875275,2.057802259378339,33.31587385851678,0,0,0,18.25999,0,32.25711030432939,0.12506769638097912,0,0,0,0,0,0,0,0,0,0,71.56334706692367,14190094,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,47.75999,47.78,46.67,46.91,0,0,0,0,0,0,0,0,46.05809655838808,44.01250905046682,41.268397599999936,6.930728839792027,0,0,2,42,0,0,4.242860322250777,2.057802259378339,44.26548307891789,0,0,0,18.28999,0,29.442569138363922,2.2504892164015002,0,0,0,0,0,1,0,0,0,0,60.59885419228044,30898784,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,46.91,47.33,46.39999,47.24001,0,0,0,0,0,0,0,0,46.1706597433035,44.118328753730204,41.312947649999934,4.869231212293427,0,0,2,43,0,0,2.3687715699793217,2.057802259378339,36.6869203580401,0,0,0,19.08,0,30.353192507397214,1.5628252630078636,0,0,0,0,0,2,0,0,0,0,62.59565973567544,25520336,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,47.37,47.47,47,47.45,0,0,0,0,0,0,0,0,46.29250167251269,44.22756387655872,41.35764769999994,4.355680142907394,0,0,2,44,0,0,1.9019069614465645,2.057802259378339,34.8824085502424,0,0,0,18.47,0,30.932634952363436,1.1252550270358253,0,0,0,0,0,3,0,0,0,0,63.85105013879457,18494912,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,46.39999,46.64,45.67999,46.022,0,0,1,0,0,0,0,0,46.266739608463865,44.28639784781909,41.39595769999993,9.777786858586557,0,0,2,45,0,2,3.935091078057546,2.953806066112051,55.10770154990053,0,0,0,18.64,0,26.99223868867586,4.100874327802806,0,2,0,0,0,4,0,0,1,0,51.25330173968473,24533664,0,0,0,0,0,3,21,17,0,0,1,1
1289831400,45.64999,46.02,45.31,45.42,0,0,0,0,0,0,0,0,46.186097740991116,44.323565131497155,41.42525769999994,8.256118367754214,0,0,2,46,0,2,2.911919461268001,2.593642691235828,49.3076776203261,0,0,0,20.61,0,25.331091244180133,5.355302072243778,0,0,0,0,0,5,0,0,1,0,47.03979873341991,16478563,0,0,0,0,0,3,21,17,0,0,1,1
1289917800,44.72,44.8,43.96001,44.11,0,0,0,0,0,0,0,0,45.98837414661101,44.31656299603823,41.44660769999994,13.070434337705954,0,0,2,47,0,5,4.112029459134384,2.7701835751437556,67.00889875589576,0,0,0,20.2,0,21.71630195466282,8.085036864964184,0,0,0,0,0,6,0,0,1,0,39.441235839299154,27433760,0,0,0,0,0,3,21,17,0,0,1,1
