time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,71.36,71.62,70.5,71.55,0,0,0,0,1,0,0,0,69.88597327759898,67.5213924312602,65.84411090000008,5.135178221852632,13.084465393176673,0,2,33,0,0,2.6105415786695083,2.057802259378339,37.63666610246277,0,0,0,21.57001,0,27.199999999999996,4.165550495579962,0,0,0,0,0,0,0,0,0,0,65.18461984254894,58044400,0,0,0,0,0,3,21,17,0,0,0,1
1288877400,72.86,73.38,72.62,73.36,0,0,0,0,0,0,0,0,70.2168329654467,67.71282218761232,65.89662340000007,5.646259735835453,13.60716239611365,0,2,34,0,0,3.0751611368357086,2.057802259378339,39.48821169233207,0,0,0,19.56,0,29.223181257706525,1.7412268952585015,0,0,0,0,0,0,0,0,0,0,72.14338997912924,60910496,0,0,0,0,0,3,21,17,0,0,0,1
1288963800,73.45,74,73.30099,73.77,0,0,0,0,0,0,0,0,70.55522982588035,67.91141818146109,65.95682340000008,4.778260251253589,12.719435650518562,0,2,35,0,0,2.286070696306742,2.057802259378339,36.36436329861141,0,0,0,18.52,0,29.739711572282797,1.1920707206000545,0,0,0,0,0,0,0,0,0,0,73.43849217483384,45659056,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,73.53,73.91,73.12,73.71249,0,0,0,0,0,0,0,0,70.8559212710346,68.10161725747875,66.01638585000008,4.78864319415422,12.730054569394206,0,2,36,0,0,2.295509735307316,2.057802259378339,36.40111695311713,0,0,0,18.25999,0,29.63856841364756,1.269099919635674,0,0,0,0,0,0,0,0,0,0,72.92633371583483,31656624,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,73.91,74.05,72.33,72.73,0,0,0,0,0,0,0,0,71.0344049595075,68.2533675113319,66.07408585000007,6.148571144854836,0,0,2,37,0,0,3.531807872307875,2.057802259378339,41.33789031117901,0,0,0,18.28999,0,27.91065775589167,2.585052236806848,0,0,0,0,0,0,0,0,0,0,64.63341927076956,48438560,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,72.83,73.55,72.11,73.53999,0,0,0,0,1,0,0,0,71.27303210622107,68.42669939620626,66.13258580000007,4.751393197727539,12.130876289562538,0,2,38,0,0,2.261646102192152,2.057802259378339,36.26933295922128,0,0,0,19.08,0,29.335191698909608,1.5001473345834362,0,0,0,0,0,0,0,0,0,0,67.8766634957247,53667552,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,72.73,73.53999,72.46001,73.25,0,0,0,0,0,0,0,0,71.46131476277144,68.58484039960933,66.19493580000008,4.969994339982775,0,0,2,39,0,0,2.460374413333274,2.057802259378339,37.04559391383004,0,0,0,18.47,0,28.82518466408723,1.8885614787034513,0,0,0,0,0,1,0,0,0,0,65.55870840994484,42991120,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,72.53,73.10001,71.89999,72.03,0,0,0,0,0,0,0,0,71.51547526155511,68.69779645208116,66.25453580000007,5.7475158982692545,0,0,2,40,0,0,3.16721219359371,2.057802259378339,39.85883905874737,0,0,0,18.64,0,26.679563841013014,3.5226359496383544,0,0,0,0,0,2,0,0,0,0,56.774557638082015,48799120,0,0,0,0,0,3,21,17,0,0,0,1
1289831400,72.38,72.85001,71.97,72.03999,0,0,0,0,0,0,0,0,71.56542904616892,68.80737656840637,66.31063570000008,5.01601984894157,0,0,2,41,0,0,2.502215785113997,2.057802259378339,37.20990445244359,0,0,0,20.61,0,26.69713330988393,3.509255290650942,0,0,0,0,0,3,0,0,0,0,56.82557128045539,38922512,0,0,0,0,0,3,21,17,0,0,0,1
1289917800,71.5,71.67999,70.14999,70.64,0,0,1,0,0,0,0,0,71.47729294653378,68.86746258255698,66.35638565000008,6.851033620266984,0,0,2,42,0,0,3.458028806917138,2.7701835751437556,43.96499819030868,0,0,0,20.2,0,24.234963067182555,5.384409322260911,0,0,0,0,0,4,0,0,1,0,48.234475248843566,70140064,0,0,0,0,0,3,21,17,0,0,1,1
1290004200,70.8,71.02,70.39999,70.83,0,0,0,0,0,0,0,0,71.41564599924484,68.93180807165348,66.40513565000009,4.888465071079784,0,0,2,43,0,0,1.6738755803833205,2.7701835751437556,36.75527226577627,0,0,0,22.58,0,24.56911712979247,5.129922314492363,0,0,0,0,0,5,0,0,1,0,49.35357023456981,39512496,0,0,0,0,1,0,18,14,0,0,1,1
1290090600,71.67,72.58,71.66,72.21001,0,0,0,0,0,0,0,0,71.49129971360247,69.03929010209107,66.4709857500001,5.3498222709907814,0,0,2,44,0,0,2.5479777472617684,2.3154970445480325,38.4102297613487,0,0,0,21.75999,0,26.996148434752023,3.281529600857219,0,0,0,0,0,0,0,0,0,1,56.67907227113409,52641648,0,0,0,0,1,0,18,14,0,0,0.5,1
1290177000,72,72.61,71.53,72.45,0,0,0,0,0,0,0,0,71.58260450278318,69.15111665612088,66.5368857500001,4.971134181787634,0,0,2,45,0,0,2.4614106331558734,2.057802259378339,37.049659534050065,0,0,0,18.75,0,27.41822018994021,2.9600857219394507,0,0,0,0,0,0,0,0,0,0,57.82161922389145,32830304,0,0,0,0,0,3,21,17,0,0,0,1
1290436200,72.17,72.99001,71.74001,72.802,0,0,0,0,0,0,0,0,71.69873740728002,69.27081774936282,66.6074958000001,5.201758232090201,0,0,2,46,0,0,2.6710688607036626,2.057802259378339,37.87596316811494,0,0,0,18.03999,0,28.037284558564906,2.488615054915604,0,0,0,0,0,0,0,0,0,0,59.50846265728755,42172256,0,0,0,0,0,3,21,17,0,0,0,1
1290522600,71.92,72.24001,71.5,72.1075,0,0,0,0,0,0,0,0,71.73766717801526,69.36382372479355,66.67058325000008,5.409442206275921,0,0,2,47,0,0,2.8598724735997716,2.057802259378339,38.62615971509735,0,0,0,18.37,0,26.81586352444601,3.4188320385748665,0,0,0,0,0,0,0,0,0,0,54.847694318456305,52202240,0,0,0,0,0,3,21,17,0,0,0,1
1290609000,72.75999,73.75,72.75,73.73,0,0,0,0,0,0,0,0,71.92741316106142,69.50697704529212,66.74108325000009,5.749945943168917,0,0,2,48,0,0,3.1694213253206764,2.057802259378339,39.86774822043932,0,0,0,20.63,0,29.669363348575455,1.2456469327618438,0,0,0,0,0,0,0,0,0,0,62.280343777135855,42139696,0,0,0,0,0,3,21,17,0,0,0,1
1290781800,73.28,73.73,73.13,73.39,0,0,0,0,0,0,0,0,72.06670714572223,69.63428927331533,66.80514325000009,4.8756151822786675,0,0,2,49,0,0,2.22242669213675,2.2099507462984014,36.70960133087386,0,0,0,19.56,0,29.071403447062966,1.70104473613715,0,0,0,0,0,0,0,0,0,0,60.04958493296649,19005232,0,0,0,0,0,3,21,17,0,0,0,1
1291041000,72.95,73.50999,72.03,73.33,0,0,0,0,0,0,0,0,72.18702075089155,69.7554601168132,66.86669325000008,5.616795275199326,0,0,2,50,0,0,2.896226776610076,2.2099507462984014,39.380587656350414,0,0,0,22.22,0,28.965881111501936,1.781409054379853,0,0,0,0,0,0,0,0,0,0,59.643588326982986,47898496,0,0,0,0,1,0,18,14,0,0,0,1
1291127400,72.48,73.25,72.17999,72.75,0,0,0,0,0,0,0,0,72.24063782223521,69.85364175232752,66.92019325000008,5.8160295814148,0,0,2,51,0,0,3.0773488731695986,2.2099507462984014,40.11028304238695,0,0,0,21.53,0,25.43103448275862,2.5582641307259535,0,0,0,0,0,0,0,0,0,0,55.72167507668974,68634944,0,0,0,0,1,0,18,14,0,0,0,1
1291213800,74.12,74.57001,72.8091,74.38,0,0,0,0,0,0,0,0,72.44438660106995,70.0020469407758,66.97974325000008,6.119901074366455,0,0,2,52,0,0,3.3535956849438295,2.2099507462984014,41.231603626160826,0,0,0,23.53999,0,28.241379310344822,0.37503348513260265,0,0,0,0,0,0,0,0,0,0,63.07098041675471,59975808,0,0,0,0,1,0,18,14,0,0,0,1
