time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,15.96,16.00999,15.6599,15.87,0,0,0,0,0,0,1,0,15.647877892291202,15.47979586295338,16.004964899999994,4.925337921212477,6.607649677922399,0,3,1,0,0,3.4147954308577466,2.057802259378339,36.886457135571895,2,0,0,21.57001,0,16.77704194260485,20.650000000000006,0,0,0,0,0,0,0,0,0,0,57.59306936000221,5308027,0,0,0,0,0,3,22,18,0,0,0,1
1288877400,16.03999,16.53,16.03979,16.53,0,0,0,1,0,0,1,0,15.731889521596802,15.514228785479498,16.011464899999996,5.072127366236152,14.022235068316487,0,3,2,0,0,3.5778948142173848,2.057802259378339,37.41060784343194,3,0,0,19.56,0,21.63355408388522,17.349999999999994,0,0,0,0,0,0,0,0,0,0,69.37269967071056,10387102,0,0,0,0,0,3,22,18,0,0,0,1
1288963800,16.52,16.95,16.52,16.66,0,0,0,0,0,0,1,0,15.82028099573044,15.55179505480804,16.020014899999996,5.0002650617436535,10.2464860248834,0,2,3,0,0,2.4878932512977094,2.057802259378339,37.15362654515708,4,0,0,18.52,0,22.590139808682856,16.7,0,0,0,0,0,0,0,0,0,0,71.07691154459141,7658832,0,0,0,0,0,3,22,18,0,0,0,1
1289226600,16.67,16.69,16.47,16.63,0,0,0,0,0,0,1,0,15.89739709137516,15.587146036617611,16.027614899999996,4.221290476864503,8.729014984368748,0,2,4,0,0,1.7797345377712093,2.057802259378339,34.41701769978124,4,0,0,18.25999,0,22.369389256806468,16.850000000000005,0,0,0,0,0,0,0,0,0,0,70.10742569235003,2735366,0,0,0,0,0,3,22,18,0,0,0,1
1289313000,16.74001,16.75999,16.17,16.25999,0,0,0,0,0,0,1,0,15.93192974933943,15.609206494433426,16.033414849999996,6.799497389918028,7.716568600185599,0,2,5,0,0,4.123559004183504,2.057802259378339,43.77091851828867,4,0,0,18.28999,0,19.64672553348049,18.700050000000008,0,0,0,0,0,0,0,0,0,0,59.35414733545265,8413324,0,0,0,0,0,3,22,18,0,0,0,1
1289399400,16.25999,16.49001,16.17999,16.49001,0,0,0,0,0,0,1,0,15.985080249402342,15.638085297894625,16.040114899999995,5.143603977529143,9.83200095072327,0,2,6,0,0,2.618201356557245,2.057802259378339,37.6669162985237,5,0,0,19.08,0,21.339293598234008,17.549949999999992,0,0,0,0,0,1,0,0,0,0,63.139251521780935,5432934,0,0,0,0,0,3,22,18,0,0,0,1
1289485800,16.39,16.62,16.28,16.55,0,0,0,0,0,1,1,0,16.038882130411643,15.667984140586604,16.047114899999993,4.794957589633194,10.036512473861338,0,2,7,0,0,2.301250094833655,2.057802259378339,36.42347648504274,6,0,0,18.47,0,21.780721118469472,17.249999999999996,0,0,0,0,0,2,0,0,0,0,64.07878142388384,4788969,0,0,0,0,0,3,22,18,0,0,0,1
1289572200,16.42,16.53,16.08,16.17,0,0,0,0,0,0,1,0,16.051369546562917,15.684443676960814,16.052414899999995,5.80306438743039,7.064357907648237,0,2,8,0,0,3.217710820103833,2.057802259378339,40.06266062519269,6,0,0,18.64,0,18.984547461368667,19.14999999999999,0,0,0,0,0,3,0,0,0,0,54.58742125813616,4919707,0,0,0,0,0,3,22,18,0,0,0,1
1289831400,16.28999,16.28999,15.86,15.89,0,0,1,0,0,0,1,0,16.036001018318828,15.69118322853587,16.056064899999996,7.104835363831925,5.16953937959656,0,2,9,0,0,3.8652985486113756,2.593642691235828,44.92337139202255,6,0,0,20.61,0,16.924208977189114,20.549999999999997,0,0,0,0,0,4,0,0,1,0,48.84620205013629,6390168,0,0,0,0,0,3,22,18,0,0,1,1
1289917800,15.85,15.9675,15.5,15.61,0,0,0,0,0,0,0,0,15.995429492764654,15.688521483337972,16.05466489999999,6.644320488933371,4.741002025067435,0,2,10,0,0,3.2701077784320356,2.7701835751437556,43.187713090118145,0,0,0,20.2,0,14.863870493009562,21.950000000000003,0,0,0,0,0,5,0,0,1,0,43.87652200883716,7468367,0,0,0,0,0,3,22,18,0,0,1,1
1290004200,15.62,15.65,15.48,15.6,0,0,0,0,0,0,0,0,15.957769541072782,15.685619139621974,16.054264899999993,5.399269096645497,3.926059295569918,0,2,11,0,0,2.138242876352151,2.7701835751437556,38.589283074569394,0,0,0,22.58,0,14.790286975717438,22.000000000000004,0,0,0,0,0,6,0,0,1,0,43.7054967171963,5309836,0,0,0,0,1,0,19,15,0,0,1,1
1290090600,15.78,15.83,15.53,15.55,0,0,0,0,0,0,0,0,15.918934346684898,15.68117261045404,16.056064899999992,9.11919814868004,5.048031384224417,0,2,12,0,2,3.6965374439278427,2.593642691235828,52.60517127956299,0,0,0,21.75999,0,14.422369389256811,22.249999999999996,0,0,0,0,0,7,0,0,1,0,42.80703823482118,3971567,0,0,0,0,1,0,19,15,0,0,1,1
1290177000,15.55,15.59,15.38,15.56,0,0,0,0,0,0,1,0,15.884750123191099,15.677199737980137,16.058764899999993,7.205023723835205,4.18226686323359,0,2,13,0,2,1.5962155010108625,2.953806066112051,45.30277034983518,1,0,0,18.75,0,14.495952906548936,22.199999999999996,0,2,0,0,0,8,0,0,1,0,43.059154314208214,4141004,0,0,0,0,0,3,22,18,0,0,1,1
1290436200,15.53,15.64,15.39,15.6,0,0,0,0,0,0,1,0,15.857631063839566,15.67466859902997,16.060914899999997,8.887183618399101,4.3385034649923115,0,2,14,0,2,1.7350924803519487,4.344165354556324,51.71976958068441,1,0,0,18.03999,0,14.790286975717438,22.000000000000004,0,2,0,0,0,9,1,0,1,0,44.120256085385314,3324242,0,0,0,0,0,3,21,17,0,2,1,1
1290522600,15.48,15.54,15.31,15.4,0,0,0,0,0,0,0,0,15.814047152997702,15.66566307119292,16.060664899999995,8.843546457324953,4.608287192699298,0,2,15,0,2,3.0857816223651784,2.953806066112051,51.5531061309209,0,0,0,18.37,0,13.318616629874914,23,0,2,0,0,0,10,0,0,1,0,40.09681462497625,7142926,0,0,0,0,0,3,21,17,0,0,1,1
1290609000,15.52,15.8,15.52,15.78,0,0,0,0,0,0,0,0,15.810804566997922,15.669411822957088,16.062614899999996,5.939964881633448,7.656554332968585,0,2,16,0,0,3.084471029664192,2.3154970445480325,40.566440276028736,0,0,0,20.63,0,16.114790286975715,21.1,0,0,0,0,0,0,0,0,0,1,49.51670118290358,8437859,0,0,0,0,0,3,21,17,0,0,0.5,1
1290781800,15.62,15.73,15.59,15.61,0,0,0,0,0,0,0,0,15.791680322521929,15.667463894335544,16.061864899999996,4.8652134122684725,4.5409449042325365,0,2,17,0,0,2.212970537582028,2.2099507462984014,36.67264893760683,0,0,0,19.56,0,14.863870493009562,21.950000000000003,0,0,0,0,0,0,0,0,0,0,46.029462544468835,1828205,0,0,0,0,0,3,21,17,0,0,0,1
1291041000,15.52,15.655,15.41,15.58,0,0,0,0,0,0,0,0,15.771520291805555,15.664596225668804,16.060364899999996,5.209093160738896,4.597549544224424,0,2,18,0,0,1.965355661891604,2.7701835751437556,37.90236219991673,0,0,0,22.22,0,14.643119941133186,22.1,0,0,0,0,0,1,0,0,1,0,45.421539190511986,3347860,0,0,0,0,1,0,18,14,0,0,1,1
1291127400,15.34,15.78,15.34,15.64,0,0,0,0,0,0,0,0,15.758994549728834,15.663789792040319,16.057714899999997,6.168454430918541,5.578714479635424,0,2,19,0,0,2.8375022711458264,2.7701835751437556,41.4116498086454,0,0,0,21.53,0,15.084621044885951,21.799999999999997,0,0,0,0,0,0,0,0,1,0,46.931157713876345,4162605,0,0,0,0,1,0,18,14,0,0,1,1
1291213800,15.87,16.23,15.87,16.2,0,0,0,0,0,0,0,0,15.800995068802278,15.681370454596374,16.058714899999995,6.309347438067673,7.849321151570421,0,2,20,0,0,3.2558193128658246,2.4799510853775137,41.935395636264,0,0,0,23.53999,0,19.205298013245027,19.000000000000004,0,0,0,0,0,0,0,0,0,1,58.47555426768819,7299484,0,0,0,0,1,0,18,14,0,0,0.5,1
