time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,60.16,60.21001,59.19,60.09,0,0,0,0,0,0,0,0,58.78611838707254,56.739390375659454,55.75568785,6.416954946329699,12.866177182564147,0,2,35,0,0,3.775793146375932,2.057802259378339,42.33664234266427,0,0,0,21.57001,0,23.74382207578254,3.5471967049706303,0,0,0,0,0,0,0,0,0,0,69.65543598234669,22730448,0,0,0,0,0,3,21,17,0,0,0,1
1288877400,60.97,62.02,60.97,62,0,0,0,0,0,0,0,0,59.09220235020849,56.911869379736196,55.77733785,6.087214975766687,14.058139346043319,0,2,36,0,0,3.4760295367731944,2.057802259378339,41.11052829739031,0,0,0,19.56,0,27.67710049423393,0.481381190017963,0,0,0,0,0,0,0,0,0,0,78.64268933862044,19328464,0,0,0,0,0,3,21,17,0,0,0,1
1288963800,61.94,62.31,61.7475,62.31,0,0,0,0,0,0,0,0,59.398659269236255,57.088857268925175,55.807387850000005,4.919908810080279,12.864303494773129,0,2,37,0,0,2.414842113421914,2.057802259378339,36.86712941432739,0,0,0,18.52,0,28.315485996705103,0,0,0,0,0,0,0,0,0,0,0,79.69389046444071,14689715,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,61.95,62.58,61.91,62.5,0,0,0,0,0,0,0,0,59.694025053118516,57.26627178469812,55.836537850000006,5.2658023890333965,13.218058291429728,0,2,38,0,0,2.7292908215611122,2.057802259378339,38.10670437122886,0,0,0,18.25999,0,28.706754530477752,0.12783636944710497,0,0,0,0,0,0,0,0,0,0,80.33282708313938,11990320,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,62.78999,63.25999,62.00999,62.38,0,0,0,0,1,0,0,0,59.94983219091675,57.433935004871955,55.866887850000005,5.996267947663712,12.590818419800955,0,2,39,0,0,3.393350420315944,2.057802259378339,40.77421401302623,0,0,0,18.28999,0,28.459637561779243,1.391068825651094,0,0,0,0,0,0,0,0,0,0,78.64961065921767,20069872,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,62.58,63.21001,61.92999,63.1825,0,0,0,0,0,0,0,0,60.257705315591345,57.62241254569582,55.90235035000001,5.097392133325003,12.484738837332673,0,2,40,0,0,2.5761905890989363,2.057802259378339,37.501125081473766,0,0,0,19.08,0,30.112232289950562,0.12249448664156365,0,0,0,0,0,0,0,0,0,0,81.44899668630629,17787632,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,62.89,63.89,62.85001,63.88,0,0,0,0,0,0,0,0,60.6026857617255,57.82757934747629,55.94425035000001,5.989827795823196,13.958538821101113,0,2,41,0,0,3.387495736824566,2.057802259378339,40.7504312248124,0,0,0,18.47,0,31.548599670510708,0.01565190170605417,0,0,0,0,0,0,0,0,0,0,83.47683816523829,18048512,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,63.17999,63.48,62.3799,62.94,0,0,0,0,0,0,0,0,60.82528711775164,57.99519969673936,55.98645035000001,6.725620330060312,14.378996615113923,0,2,42,0,0,4.0563980406764895,2.057802259378339,43.493039460081256,0,0,0,18.64,0,29.61285008237231,1.4869306620754466,0,0,0,0,0,0,0,0,0,0,72.04675593677383,17874240,0,0,0,0,0,3,21,17,0,0,0,1
1289831400,63.33,63.3602,62.61,62.62,0,0,0,0,0,0,0,0,60.99621215415625,58.14683249356758,56.01805035,6.686178007078072,0,0,2,43,0,0,4.020541383419908,2.057802259378339,43.34484834327017,0,0,0,20.61,0,28.953871499176266,1.9877915166692801,0,0,0,0,0,0,0,0,0,0,68.60299309368155,10751230,0,0,0,0,0,3,21,17,0,0,0,1
1289917800,61.99001,62.00999,60.96001,61.45,0,0,0,0,0,0,0,0,61.0394300442366,58.25513306754897,56.0401004,7.584172207383779,0,0,2,44,0,0,4.12451843156877,2.7701835751437556,46.74313234292519,0,0,0,20.2,0,26.544481054365733,3.819064016277974,0,0,0,0,0,1,0,0,1,0,57.736491216623115,23738480,0,0,0,0,0,3,21,17,0,0,1,1
1290004200,61.3,62.10001,61.12,61.7,0,0,0,0,0,0,0,0,61.10234146859502,58.36807952435064,56.0658504,6.276733713882377,0,0,2,45,0,0,2.9359379829311325,2.7701835751437556,41.81399337434573,0,0,0,22.58,0,27.059308072487642,3.4277664736265425,0,0,0,0,0,2,0,0,1,0,59.222779800562364,16817792,0,0,0,0,1,0,18,14,0,0,1,1
1290090600,62.3,63.25999,62.3,63.06,0,0,0,0,0,0,0,0,61.28878513825264,58.52191298256865,56.1100004,6.29092851643787,0,0,2,46,0,0,3.4035288794863945,2.3154970445480325,41.866820416648345,0,0,0,21.75999,0,29.85996705107084,1.2991078416027522,0,0,0,0,0,0,0,0,0,1,66.18876050363227,16052594,0,0,0,0,1,0,18,14,0,0,0.5,1
1290177000,62.88,63.61,62.41,63.59,0,0,0,0,1,0,0,0,61.50794845841906,58.68807977002542,56.15675035,5.429065040480356,13.3850314576823,0,2,47,0,0,2.877711413785621,2.057802259378339,38.69732762816576,0,0,0,18.75,0,30.951400329489292,0.46955705118171415,0,0,0,0,0,0,0,0,0,0,68.45067589044007,11360789,0,0,0,0,0,3,21,17,0,0,0,1
1290436200,63.24001,63.42999,62.14999,63.392,0,0,0,0,0,0,0,0,61.68738193856962,58.84230666281147,56.205010300000005,5.693317477855712,0,0,2,48,0,0,3.1179409023086713,2.057802259378339,39.66030939158916,0,0,0,18.03999,0,30.543657331136735,0.779464704961649,0,0,0,0,0,0,0,0,0,0,66.6566337324746,18146912,0,0,0,0,0,3,21,17,0,0,0,1
1290522600,62.48,62.50999,61.58,62.15199,0,0,0,0,0,0,0,0,61.731630325372514,58.95082087058814,56.241420250000004,6.137583639839709,0,0,2,49,0,0,3.521819231385032,2.057802259378339,41.297147453438804,0,0,0,18.37,0,27.99009472817132,2.7203161684144663,0,0,0,0,0,0,0,0,0,0,56.64389873921153,22534960,0,0,0,0,0,3,21,17,0,0,0,1
1290609000,62.58,63.34,62.53999,63.27251,0,0,0,0,0,0,0,0,61.878380770575134,59.092515596142626,56.284582799999995,5.50898458772349,0,0,2,50,0,0,2.950365547643015,2.057802259378339,38.98767512917776,0,0,0,20.63,0,30.297590609555176,0.9664892784473371,0,0,0,0,0,0,0,0,0,0,62.1733977624711,22650240,0,0,0,0,0,3,21,17,0,0,0,1
1290781800,62.64999,63.03999,62.35001,62.52,0,0,0,0,0,0,0,0,61.939487363853694,59.20489213397401,56.319332749999994,5.111891754059285,0,0,2,51,0,0,2.437223575573676,2.2099507462984014,37.55311307737527,0,0,0,19.56,0,28.747940691927514,2.1443105337298443,0,0,0,0,0,1,0,0,0,0,56.92290608838159,6589391,0,0,0,0,0,3,21,17,0,0,0,1
1291041000,62.2,63.07001,61.63,62.92999,0,0,0,0,0,0,0,0,62.03382094824858,59.32702649023716,56.35603269999999,5.111262822288427,0,0,2,52,0,0,2.4366518194183495,2.2099507462984014,37.55085746328296,0,0,0,22.22,0,29.59223640856671,1.5025982156832118,0,0,0,0,0,2,0,0,0,0,58.95659458161621,14734371,0,0,0,0,1,0,18,14,0,0,0,1
1291127400,62.11,63.22,61.92,62.71001,0,0,0,0,0,0,0,0,62.09821990555824,59.43794398236053,56.38508279999999,5.859141022172693,0,0,2,53,0,0,3.11654109204041,2.2099507462984014,40.26876942557646,0,0,0,21.53,0,29.139229818780876,1.8469087494130592,0,0,0,0,0,0,0,0,0,0,57.39101005768613,19273392,0,0,0,0,1,0,18,14,0,0,0,1
1291213800,63.74001,64.72501,63.74001,64.57001,0,0,0,0,1,0,0,0,62.333628485981265,59.60620844195527,56.423832799999985,6.168570190892316,13.409094802968719,0,2,54,0,0,3.397840336330977,2.2099507462984014,41.41207934765232,0,0,0,23.53999,0,32.969542833607896,0.23947466365783665,0,0,0,0,0,0,0,0,0,0,65.68775429781864,19973712,0,0,0,0,1,0,18,14,0,0,0,1
1291300200,64.55,65.57001,64.53999,65.53,0,0,0,0,0,0,0,0,62.63804482064972,59.80043111598952,56.465782799999985,5.734362301910688,13.526100245450978,0,2,55,0,0,3.003105891802224,2.2099507462984014,39.810626303140026,0,0,0,21.36,0,34.94645799011531,0.061018749272716624,0,0,0,0,0,0,0,0,0,0,69.03867708241731,17677600,0,0,0,0,1,0,18,14,0,0,0,1
1291386600,65.14,65.94,65.11,65.82001,0,0,0,0,0,0,0,0,62.94108912344498,59.99779435808822,56.508082849999994,5.300014734771832,13.081881142695329,0,2,56,0,0,2.608244467130536,2.2099507462984014,38.23018730221792,0,0,0,19.39,0,35.54367792421745,0.1819684561722799,0,0,0,0,0,0,0,0,0,0,69.99209200376926,10019355,0,0,0,0,0,3,21,17,0,0,0,1
1291645800,65.77,66.2,65.72,66.03999,0,0,0,0,0,0,0,0,63.236222540259746,60.19589913323287,56.555432749999994,3.9767686441928207,11.728561277330432,0,2,57,0,0,1.4052934756950717,2.2099507462984014,33.57790948888723,0,0,0,18.00999,0,35.9966845140033,0.241706948640483,0,0,0,0,0,0,0,0,0,0,70.72840709202485,11992758,0,0,0,0,0,3,21,17,0,0,0,1
1291732200,66.89999,67,65.63,65.78999,0,0,0,0,0,0,0,0,63.47943848880644,60.37931194853671,56.60623269999999,6.769042179744832,13.096634280799506,0,2,58,0,0,4.0958724494805985,2.057802259378339,43.656316779158075,0,0,0,18.02,0,35.481857495881385,1.805985074626861,0,0,0,0,0,0,0,0,0,0,68.6662912166244,22938480,0,0,0,0,0,3,21,17,0,0,0,1
1291818600,65.86,66.16,65.0699,65.48,0,0,0,0,1,0,0,0,63.669968156539156,60.54654762235518,56.65373269999999,5.096674065786235,13.548069933411325,0,2,59,0,0,2.4233893135072666,2.2099507462984014,37.49855121770461,0,0,0,17.99001,0,34.843492586490946,2.2686567164179046,0,0,0,0,0,1,0,0,0,0,66.09312504000606,12760105,0,0,0,0,0,3,21,17,0,0,0,1
1291905000,65.81,65.95,65.0368,65.63,0,0,0,0,0,0,0,0,63.856637855916375,60.71321819211403,56.701832749999994,5.185065838388329,13.605926366387243,0,2,60,0,0,2.503745470418262,2.2099507462984014,37.815912607423684,0,0,0,17.74001,0,35.15238879736407,2.044776119402992,0,0,0,0,0,2,0,0,0,0,66.74256829303123,10952352,0,0,0,0,0,3,21,17,0,0,0,1
1291991400,65.78,65.97,65.49001,65.89999,0,0,0,0,0,0,0,0,64.05124282201957,60.883276284175864,56.7506327,3.9591388768147753,14.20320907052369,0,2,61,0,0,1.3892664144423035,2.2099507462984014,33.5178018058865,0,0,0,17.25,0,35.70838138385503,1.6418059701492498,0,0,0,0,0,3,0,0,0,0,67.93312790950243,8676078,0,0,0,0,0,3,21,17,0,0,0,1
1292250600,66.31,66.97,66.22,66.46001,0,0,0,0,0,0,0,0,64.28064921992247,61.06612001256354,56.799632749999994,4.725280204725839,15.154155437171413,0,2,62,0,0,2.085758530725088,2.2099507462984014,36.17707246963709,0,0,0,17.61,0,36.86163509060954,0.8059552238806016,0,0,0,0,0,0,0,0,0,0,70.30750489785983,12889563,0,0,0,0,0,3,21,17,0,0,0,1
1292337000,66.53999,66.72,65.92999,66.14999,0,0,0,0,0,0,0,0,64.45868167516795,61.2328042744467,56.844732699999994,4.841588287208494,0,0,2,63,0,0,2.1914931511638653,2.2099507462984014,36.588778695500594,0,0,0,17.55,0,36.22320840197693,1.268671641791041,0,0,0,0,0,0,0,0,0,0,67.33511655520525,11515484,0,0,0,0,0,3,21,17,0,0,0,1
1292423400,65.87,66.38,65.60001,65.78999,0,0,0,0,0,0,0,0,64.58547294419958,61.38222019987467,56.886782649999994,5.120031864240024,0,0,2,64,0,0,2.4446236757379842,2.2099507462984014,37.582311809438735,0,0,0,17.61,0,35.481857495881385,1.805985074626861,0,0,0,0,0,0,0,0,0,0,63.953934143490514,11116086,0,0,0,0,0,3,21,17,0,0,0,1
1292509800,65.77,66.17999,65.25,66.16,0,0,0,0,0,0,0,0,64.73542790189485,61.53886871791157,56.93218264999999,4.454876617783517,0,0,2,65,0,0,1.8399370880502504,2.2099507462984014,35.22779045924927,0,0,0,17.94,0,36.243822075782525,1.2537313432835873,0,0,0,0,0,0,0,0,0,0,65.85190322232589,11025715,0,0,0,0,0,3,21,17,0,0,0,1
1292596200,65.85001,65.98,65.59,65.89,0,0,0,0,0,0,0,0,64.84538714933343,61.681528759947255,56.97088269999999,4.309890753958235,0,0,2,66,0,0,1.7081317572999932,2.2099507462984014,34.72351068322518,0,0,0,17.39,0,35.68780889621087,1.656716417910447,0,0,0,0,0,1,0,0,0,0,63.23536966734748,11325852,0,0,0,0,0,3,21,17,0,0,0,1
1292855400,66.14,66.53,65.77,66.32001,0,0,0,0,0,0,0,0,64.98582742082549,61.83361011208013,57.01218275,4.551598573789232,0,0,2,67,0,0,1.9278661389645373,2.2099507462984014,35.566050746153735,0,0,0,16.11,0,36.57333196046127,1.0149104477611994,0,0,0,0,0,0,0,0,0,0,65.58098043718608,10234676,0,0,0,0,0,3,21,17,0,0,0,1
1292941800,66.69,67.075,66.4805,66.99001,0,0,0,1,0,0,0,0,65.17670195217543,62.00267240348734,57.056832799999995,4.464137554912731,14.041304295528935,0,2,68,0,0,1.8483561218040814,2.2099507462984014,35.260114792910926,0,0,0,16.41,0,37.953068369027996,0.12670890793888154,0,0,0,0,0,0,0,0,0,0,68.90938415824971,8703348,0,0,0,0,0,3,21,17,0,0,0,1
1293028200,67.19,67.28999,66.99001,67.22,0,0,0,0,0,0,0,0,65.37130176625396,62.17373232468447,57.10008274999999,3.934472340270454,13.340927204286084,0,2,69,0,0,1.366842290311102,2.2099507462984014,33.433792318185596,0,0,0,16.49001,0,38.42668863261943,0.10401249873867452,0,0,0,0,0,0,0,0,0,0,69.98246242848475,7855418,0,0,0,0,0,3,21,17,0,0,0,1
1293114600,67.14999,67.4899,67.11501,67.41,0,0,0,0,0,0,0,0,65.56546350280121,62.34541323207187,57.14478275,3.647080213156347,13.047003437919383,0,2,70,0,0,1.1055767202073685,2.2099507462984014,32.462826625172326,0,0,0,15.45,0,38.817957166392084,0.11838808473565554,0,0,0,0,0,0,0,0,0,0,70.87673811334619,4531793,0,0,0,0,0,3,21,17,0,0,0,1
1293460200,67.09,67.291,66.91,67.17,0,0,0,0,0,0,0,0,65.71827650253442,62.50359640479083,57.188132749999994,4.718519847321078,0,0,2,71,0,0,2.079612751266214,2.2099507462984014,36.15320384343145,0,0,0,16.47,0,38.32372322899506,0.47399684989902796,0,0,0,0,0,0,0,0,0,0,68.11622841703803,4152645,0,0,0,0,0,3,21,17,0,0,0,1
1293546600,67.25999,67.52499,67.11951,67.42,0,0,0,0,0,0,0,0,65.88034540705496,62.664789965289486,57.235732799999994,4.610121684149253,14.190606245884467,0,2,72,0,0,1.9810689665645556,2.2099507462984014,35.771425018514314,0,0,0,17.67,0,38.83855024711696,0.15548317741328183,0,0,0,0,0,0,0,0,0,0,69.45096775958562,5154656,0,0,0,0,0,3,21,17,0,0,0,1
1293633000,67.64999,68.25999,67.53,68.09,0,0,0,1,0,0,0,0,66.09078870162115,62.84266570413246,57.28408279999999,5.082810877305426,14.515364344435488,0,2,73,0,0,2.410786414888349,2.2099507462984014,37.44887343887688,0,0,0,17.52,0,40.21828665568369,0.24903314518504696,0,0,0,0,0,0,0,0,0,0,72.74408380710128,5532641,0,0,0,0,0,3,21,17,0,0,0,1
1293719400,68.14999,68.47,67.91,68.14999,0,0,0,0,0,0,0,0,66.28690311099056,63.01667633678385,57.32953275,4.849338776416392,13.781914773085488,0,2,74,0,0,2.198539050443772,2.2099507462984014,36.61628434264179,0,0,0,17.28,0,40.34182454695222,0.4673725719293068,0,0,0,0,0,0,0,0,0,0,73.0244774655045,5984535,0,0,0,0,0,3,21,17,0,0,0,1
1293805800,68.13,68.5,67.92999,68.25,0,0,0,0,0,0,0,0,66.47386471946766,63.188260719184385,57.3798828,4.754583380558386,15.545494572743985,0,2,75,0,0,2.11239778148195,2.2099507462984014,36.28061122745295,0,0,0,17.52,0,40.54777594728171,0.36496350364963503,0,0,0,0,0,0,0,0,0,0,73.513668468917,4444434,0,0,0,0,0,3,21,17,0,0,0,1
1294065000,68.89999,69.19,68.60001,68.75999,0,0,0,0,0,0,0,0,66.69159093666121,63.37094036773571,57.43728275,6.329239501477496,14.513514067586128,0,2,76,0,0,3.543903345953867,2.2099507462984014,42.00949048349025,0,0,0,17.75,0,41.59800247116968,0.6214915450209507,0,0,0,0,0,0,0,0,0,0,75.91251753569344,10196645,0,0,0,0,0,3,21,17,0,0,0,1
