time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1502928000,301.13,312.18,298,302,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.893106237796705,4.8317913627252835,0,2,1,0,0,2.078778795640803,2.3694996023562016,36.771773699520786,0,0,0,15.55,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,7030.71034,0,0,0,0,1,0,23,19,0,0,0,NaN
1503014400,302,311.79,283.94,293.96,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.464770406597926,4.364066133706103,0,2,2,0,0,2.5984734945510035,2.3694996023562016,38.82694721949553,0,0,0,14.26,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,9537.84646,0,0,0,0,1,0,23,19,0,0,0,NaN
1503100800,293.96,299.9,278,290.91,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.464770406597926,4.364066133706103,0,2,3,0,0,2.5984734945510035,2.3694996023562016,38.82694721949553,0,0,0,14.26,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,2146.19773,0,0,0,0,1,0,23,19,0,0,0,NaN
1503187200,290.91,300.53,282.85,299.1,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.893106237796705,4.8317913627252835,0,2,4,0,0,2.078778795640803,2.3694996023562016,36.771773699520786,0,0,0,14.26,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,2510.13871,0,0,0,0,1,0,23,19,0,0,0,NaN
1503273600,299.1,346.52,294.6,323.29,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.893106237796705,4.8317913627252835,0,2,5,0,0,2.078778795640803,2.3694996023562016,36.771773699520786,0,0,0,13.19,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,5219.44542,0,0,0,0,1,0,23,19,0,0,0,NaN
1503360000,323.29,330.41,144.21,309.8,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.464770406597926,4.642968086827798,0,2,6,0,0,2.5984734945510035,2.3694996023562016,38.82694721949553,0,0,0,11.35,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,7956.35088,0,0,0,0,1,0,23,19,0,0,0,NaN
1503446400,312.25,324.99,309.41,315.74,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.33945662196068,5.288286073802075,0,2,7,0,0,2.484551872153506,2.3694996023562016,38.37273402908961,0,0,0,12.25,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,8665.72569,0,0,0,0,1,0,23,19,0,0,0,NaN
1503532800,315.74,328.04,314.01,323.42,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.893106237796705,4.8317913627252835,0,2,8,0,0,2.078778795640803,2.3694996023562016,36.771773699520786,0,0,0,12.23,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,6753.27192,0,0,0,0,1,0,23,19,0,0,0,NaN
1503619200,323.42,338.28,323.42,327.24,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.893106237796705,5.110693315846978,0,2,9,0,0,2.078778795640803,2.3694996023562016,36.771773699520786,0,0,0,11.28,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,7125.96962,0,0,0,0,1,0,23,19,0,0,0,NaN
1503705600,327.24,335.44,323.41,330.79,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.893106237796705,5.110693315846978,0,2,10,0,0,2.078778795640803,2.3694996023562016,36.771773699520786,0,0,0,11.28,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,4877.68521,0,0,0,0,1,0,23,19,0,0,0,NaN
