time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1648647000,14.88,15.1,14.35,14.79,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.648353930564589,3.954848256169952,0,2,1,0,0,2.5984734945510035,2.5363937150531677,39.49586499451417,0,0,0,18.9,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,380385,0,0,0,0,1,0,23,19,0,0,0,NaN
1648733400,14.72,14.73,14.04,14.04,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.753656267892734,4.678318876966556,0,2,2,0,0,3.6032938012129536,2.5363937150531677,43.59844587469837,0,0,0,19.33,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,297785,0,0,0,0,1,0,23,19,0,0,0,NaN
1648819800,14.35,14.61,14.02,14.61,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.100359657264648,5.46950860558817,0,2,3,0,0,3.009387791551058,2.5363937150531677,41.159205765585796,0,0,0,20.56,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,424316,0,0,0,0,1,0,23,19,0,0,0,NaN
1649079000,14.7,15.33,14.58,15.33,0,0,0,0,0,0,0,0,NaN,NaN,NaN,8.810496451891233,5.379598384270419,0,2,4,0,0,2.9294675948241684,5.080074634167861,51.42685502034242,0,0,0,19.63,0,NaN,NaN,0,2,0,3,0,0,0,0,0,0,NaN,181278,0,0,0,0,1,0,23,19,0,0,0,NaN
1649165400,15.14,15.229,14.01,14.01,0,0,0,0,0,0,0,0,NaN,NaN,NaN,9.867174153954426,4.88480759517163,0,2,5,0,0,3.8900836876088896,5.080074634167861,55.44565724085181,0,0,0,18.57,0,NaN,NaN,0,2,0,3,0,1,0,0,0,0,NaN,262013,0,0,0,0,1,0,23,19,0,0,0,NaN
1649251800,13.58,13.829,12.94,13.71,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.289444924196756,5.723262442813968,1,2,6,0,0,3.2349467579739897,3.3918213549321523,45.622887371368414,0,0,0,21.03,0,NaN,NaN,0,2,0,2,0,2,0,0,0,0,NaN,564165,0,0,0,0,1,0,23,19,0,0,0,NaN
1649338200,13.74,14.2,13.3715,14.12,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.151936150346865,4.559901196831124,0,2,7,0,0,2.200847872655906,3.3918213549321523,41.35037049095735,0,0,0,22.1,0,NaN,NaN,0,2,0,2,0,3,0,0,0,0,NaN,406195,0,0,0,0,1,0,23,19,0,0,0,NaN
1649424600,13.94,14.46,13.7607,14.09,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.689286227216006,5.109463775447291,0,2,8,0,0,2.6893479425369438,3.3918213549321523,43.35652213988284,0,0,0,21.55,0,NaN,NaN,0,2,0,2,0,4,0,0,0,0,NaN,242800,0,0,0,0,1,0,23,19,0,0,0,NaN
1649683800,13.83,13.95,13.3,13.3,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.272042514643828,5.017626238476363,0,2,9,0,0,4.07455402553213,2.5363937150531677,45.55686863970275,0,0,0,21.16,0,NaN,NaN,0,2,0,0,0,5,0,0,0,0,NaN,347212,0,0,0,0,1,0,23,19,0,0,0,NaN
1649770200,13.63,13.91,13.14,13.15,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.035135635866012,4.862559917821792,0,2,10,0,0,3.859184135734115,2.5363937150531677,44.65977380179066,0,0,0,24.37,0,NaN,NaN,0,2,0,0,0,6,0,0,0,0,NaN,342250,0,0,0,0,1,0,23,19,0,0,0,NaN
