time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1289170800,3.961,3.9815,3.92,3.9565,0,0,0,0,1,0,0,0,3.8146534117587922,3.634812400718032,3.3283125000000022,5.813758173949522,12.471357477006213,0,2,51,0,0,3.227432444212136,2.057802259378339,40.10193859003855,0,0,0,18.28999,0,45.459558823529406,0.9760981103741635,0,0,0,0,0,0,0,0,0,0,65.51561962818027,37182,0,0,0,0,0,3,21,17,0,0,0,1
1289257200,3.9585,4.0475,3.9275,4.043,0,0,0,0,0,0,0,0,3.8364007058770024,3.6481956006944896,3.3318300000000023,5.570953003351321,12.969062454405043,0,2,52,0,0,3.0067004709410434,2.057802259378339,39.213345878472154,0,0,0,19.08,0,48.639705882352935,0.11117974058060952,0,0,0,0,0,0,0,0,0,0,70.10475765788875,46247,0,0,0,0,0,3,21,17,0,0,0,1
1289343600,3.9815,4.0215,3.9415,3.969,0,0,0,0,0,0,0,0,3.8490292100791925,3.6587137777209,3.3355625000000027,6.112284562865506,0,0,2,53,0,0,3.4988200704993933,2.057802259378339,41.20338112555244,0,0,0,18.47,0,45.91911764705881,1.9394688079061262,0,0,0,0,0,0,0,0,0,0,62.448272920272444,42232,0,0,0,0,0,3,21,17,0,0,0,1
1289430000,3.982,4.0835,3.9675,4.0225,0,0,0,0,0,0,0,0,3.865550237690698,3.6706411948448046,3.340184999999999,4.986944125640336,0,0,2,54,0,0,2.475783309385602,2.057802259378339,37.10606980148371,0,0,0,18.64,0,47.88602941176469,1.493816578915145,0,0,0,0,0,0,0,0,0,0,65.39117323518886,39225,0,0,0,0,0,3,21,17,0,0,0,1
1289516400,4.0315,4.05,3.88,3.8935,0,0,0,0,0,0,0,0,3.8682121198153934,3.677948040915467,3.344389999999999,7.279542128570012,0,0,2,55,0,0,4.024122880191455,2.593642691235828,45.58531768392374,0,0,0,20.61,0,43.14338235294117,4.652871311375044,0,0,0,0,0,1,0,0,1,0,54.334130910264996,51650,0,0,0,0,0,3,21,17,0,0,1,1
1289775600,3.8875,3.9535,3.8495,3.925,0,0,0,0,0,0,0,0,3.8736204893567843,3.6860481051477465,3.348597499999999,5.402011085343403,0,0,2,56,0,0,2.317276477258174,2.593642691235828,38.59922125873818,0,0,0,20.2,0,44.301470588235276,3.8814742255418166,0,0,0,0,0,2,0,0,1,0,56.27825017714654,44495,0,0,0,0,0,3,21,17,0,0,1,1
1289862000,3.911,3.9325,3.6855,3.7275,0,0,1,0,0,0,0,0,3.859704252275186,3.6874071836674926,3.351787499999999,13.177418754768135,0,0,2,57,0,5,4.2092880201000025,2.7701835751437556,67.3695960956681,0,0,0,22.58,0,37.04044117647058,8.718011509734295,0,0,0,0,0,3,0,0,1,0,43.712733032716976,61849,0,0,1,0,1,0,19,15,0,0,1,1
1289948400,3.722,3.768,3.6065,3.7295,0,0,0,0,0,0,0,0,3.8473038472965966,3.688787276006263,3.3555675,11.448833120320348,0,0,2,58,0,5,2.6378465342383777,2.7701835751437556,61.31532673838769,0,0,0,21.75999,0,37.113970588235276,8.669033916982983,0,0,0,0,0,4,0,0,1,0,43.84945595392694,53717,0,0,0,0,1,0,19,15,0,0,1,1
1290034800,3.7295,3.849,3.7135,3.831,0,0,0,0,0,0,0,0,3.8457510999350157,3.693449988268353,3.3603274999999995,5.642802812626691,0,0,2,59,0,0,2.814323694203505,2.3154970445480325,39.47557938251914,0,0,0,18.75,0,40.84558823529411,6.183421084853678,0,0,0,0,0,5,0,0,0,1,50.430120595905706,39750,0,0,0,0,0,3,22,18,0,0,0.5,1
1290121200,3.8405,3.8725,3.781,3.8335,0,0,0,0,0,0,0,0,3.8445843285126333,3.698041791931686,3.3652074999999995,5.076759895700621,0,0,2,60,0,0,2.557434009440407,2.057802259378339,37.427198445077394,0,0,0,18.03999,0,40.937499999999986,6.122199093914534,0,0,0,0,0,6,0,0,0,0,50.58373937858399,37264,0,0,0,0,0,3,22,18,0,0,0,1
