time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1618407000,381,429.54,310,328.28,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.464770406597926,5.150810948601051,0,2,1,0,0,2.5984734945510035,2.3694996023562016,38.82694721949553,0,0,0,16.65,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,81065746,0,0,0,0,1,0,23,19,0,0,0,NaN
1618493400,348.9,349.2,317.2701,322.75,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.7113372588006,6.621291070042802,0,2,2,0,0,4.640806996553434,2.3694996023562016,47.22756387253846,0,0,0,16.99,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,39777858,0,0,0,0,1,0,23,19,0,0,0,NaN
1618579800,327.5,345.99,321.03,342,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.647444303960476,6.390018290742269,0,2,3,0,0,2.7645406739715024,2.3694996023562016,39.49254067146955,0,0,0,16.57,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,22654542,0,0,0,0,1,0,23,19,0,0,0,NaN
1618839000,337.26,341.01,326.79,333,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.363419027259891,5.739017318488884,0,2,4,0,0,3.4154267860618805,2.3694996023562016,42.13688787805159,0,0,0,16.25,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,11405556,0,0,0,0,1,0,23,19,0,0,0,NaN
1618925400,333.425,334.83,312.0201,320.82,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.564003916399022,5.215763791379951,0,2,5,0,0,2.688685776188364,2.3694996023562016,39.188016193517946,0,0,0,17.29,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,NaN,18082257,0,0,0,0,1,0,23,19,0,0,0,NaN
1619011800,312.52,327.47,302.1,311.92,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.890799933819167,5.8018526886408415,0,2,6,0,0,3.8948639738430413,2.3694996023562016,44.114880231581324,0,0,0,18.68,0,NaN,NaN,0,2,0,0,0,2,0,0,0,0,NaN,10103896,0,0,0,0,1,0,23,19,0,0,0,NaN
1619098200,305.7595,313.5,287.2033,293.45,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.645762282677391,5.923823812943974,0,2,7,0,0,3.6721024728050624,2.3694996023562016,43.193123396567756,0,0,0,17.5,0,NaN,NaN,0,2,0,0,0,3,0,0,0,0,NaN,14991941,0,0,0,0,1,0,23,19,0,0,0,NaN
1619184600,282.75,303,282.07,291.6,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.298662441609568,6.773677435560183,1,2,8,0,0,3.356557162743405,2.3694996023562016,41.89561066954673,0,0,0,18.71,0,NaN,NaN,0,2,0,0,0,4,0,0,0,0,NaN,9891146,0,0,0,0,1,0,23,19,0,0,0,NaN
1619443800,304.29,306.1,296.9,304.54,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.433687185511659,7.194130328692345,0,2,9,0,0,3.4793069299271253,2.3694996023562016,42.3991258022612,0,0,0,17.33,0,NaN,NaN,0,2,0,0,0,5,0,0,0,0,NaN,6330230,0,0,0,0,1,0,23,19,0,0,0,NaN
1619530200,306.7,306.7,299.5,302,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.971090464172275,5.482220440831535,0,2,10,0,0,3.0587644559822302,2.3694996023562016,40.68126095350081,0,0,0,17.64,0,NaN,NaN,0,2,0,0,0,6,0,0,0,0,NaN,3901957,0,0,0,0,1,0,23,19,0,0,0,NaN
