time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,52.84,53.03999,52.36,53.02,0,0,0,1,0,0,0,0,51.369543070622875,49.16329698370734,46.807499950000036,5.067568866191452,14.326103369903839,0,2,38,0,0,2.549078528068436,2.057802259378339,37.39428525403191,0,0,0,21.57001,0,28.43992248062016,0.03768854405892601,0,0,0,0,0,0,0,0,0,0,78.33476040693306,126225808,0,0,0,0,0,3,21,17,0,0,0,1
1288877400,53.63,53.8614,53.5,53.67,0,0,0,0,0,0,0,0,51.58863420675403,49.31105773833988,46.84839990000004,4.943785603863497,12.888722942960511,0,2,39,0,0,2.436548289588476,2.057802259378339,36.952162597002385,0,0,0,19.56,0,29.169675090252724,0.35535652619501457,0,0,0,0,0,0,0,0,0,0,81.49175767595734,84201008,0,0,0,0,0,3,21,17,0,0,0,1
1288963800,53.7,53.81,53.50999,53.67,0,0,0,0,0,0,0,0,51.786859520396504,49.45397387806644,46.89594990000004,4.608079724392715,11.682186128205394,0,2,40,0,0,2.1313611264332195,2.057802259378339,35.76425034516636,0,0,0,18.52,0,29.169675090252724,0.35535652619501457,0,0,0,0,0,0,0,0,0,0,81.49175767595734,77937056,0,0,0,0,0,3,21,17,0,0,0,1
1289226600,53.57001,53.83,53.44991,53.7375,0,0,0,0,0,0,0,0,51.972634804168266,49.5944173574741,46.94308740000004,3.9251756420420842,11.846962754734067,0,2,41,0,0,1.5105392333871916,2.057802259378339,33.40215675552831,0,0,0,18.25999,0,29.332129963898918,0.23003486727044992,0,0,0,0,0,0,0,0,0,0,81.81097027599787,39623424,0,0,0,0,0,3,21,17,0,0,0,1
1289313000,53.97,54.0401,53.21001,53.45,0,0,0,0,0,0,0,0,52.113336251390336,49.720829903130685,46.988587350000046,5.630949643247318,14.394637968376907,0,2,42,0,0,3.0612428708464954,2.057802259378339,39.43227614135643,0,0,0,18.28999,0,28.64019253910952,1.0919668912529763,0,0,0,0,0,0,0,0,0,0,75.81334578224792,66969744,0,0,0,0,0,3,21,17,0,0,0,1
1289399400,53.53,53.77,53.10001,53.715,0,0,0,1,0,0,0,0,52.26587565601983,49.85178629974935,47.03366235000004,4.763511827588578,14.015135944059992,0,2,43,0,0,2.2726630384294597,2.057802259378339,36.31218403110877,0,0,0,19.08,0,29.2779783393502,0.6015903005360816,0,0,0,0,0,0,0,0,0,0,77.45404535619063,83553632,0,0,0,0,0,3,21,17,0,0,0,1
1289485800,52.89999,53.48,52.66,53.38499,0,0,0,0,0,0,0,0,52.37245797449413,49.967629044019866,47.082837300000044,5.4922069626224275,0,0,2,44,0,0,2.9351131611875036,2.057802259378339,38.926656536343415,0,0,0,18.47,0,28.483730445246703,1.2122664465831865,0,0,0,0,0,1,0,0,0,0,70.9952916101549,85163504,0,0,0,0,0,3,21,17,0,0,0,1
1289572200,53.10001,53.3672,52.11,52.50999,0,0,0,0,0,0,0,0,52.38555626263755,50.05098514093725,47.131437300000044,6.863931892024336,0,0,2,45,0,0,3.646295392422659,2.593642691235828,44.01360076358883,0,0,0,18.64,0,26.377833935018064,2.8314344347993443,0,0,0,0,0,2,0,0,1,0,57.34185456641417,99164256,0,0,0,0,0,3,21,17,0,0,1,1
1289831400,52.78,52.88,52.28999,52.315,0,0,1,0,0,0,0,0,52.378836618576834,50.125215136316356,47.176712350000045,6.605971366099288,0,0,2,46,0,0,3.411785823399888,2.593642691235828,43.04386870499435,0,0,0,20.61,0,25.90854392298436,3.1922590816819447,0,0,0,0,0,3,0,0,1,0,54.812102966338,56723376,0,0,0,0,0,3,21,17,0,0,1,1
1289917800,51.92999,52.2462,50.85001,51.45,0,0,0,0,0,0,0,0,52.290375988236185,50.16865070561746,47.21571240000004,7.213060015381476,0,0,2,47,0,0,3.787143711566677,2.7701835751437556,45.33322688678429,0,0,0,20.2,0,23.82671480144406,4.792922292889909,0,0,0,0,0,4,0,0,1,0,45.27070784298933,101096624,0,0,0,0,0,3,21,17,0,0,1,1
1290004200,51.49001,51.87,51.35001,51.60001,0,0,0,0,0,0,0,0,52.224626846499405,50.21558051854804,47.25426245000004,5.183100152704888,0,0,2,48,0,0,1.9417256545879606,2.7701835751437556,37.80884354621662,0,0,0,22.58,0,24.187749699157642,4.51533213299014,0,0,0,0,0,5,0,0,1,0,46.99396281406762,77836128,0,0,0,0,1,0,18,14,0,0,1,1
1290090600,52.14999,52.78999,52.13,52.42999,0,0,0,0,0,0,0,0,52.24418524207089,50.28818410810384,47.30331240000004,5.741617488734077,0,0,2,1,0,0,2.9041552179374914,2.3154970445480325,39.837216785811805,0,0,0,21.75999,0,26.185294825511434,2.9794726508648317,0,0,0,0,0,6,0,0,0,1,55.36756605597302,71488256,0,0,0,0,1,0,18,14,0,0,0.5,1
1290177000,52.34,52.59,52.14,52.47,0,0,0,0,0,0,0,0,52.26569140949271,50.359719055379124,47.350762400000036,4.773638183356242,0,0,2,2,0,0,2.281868816400063,2.057802259378339,36.34800716863607,0,0,0,18.75,0,26.281588447653437,2.9054350380550806,0,0,0,0,0,0,0,0,0,0,55.73062408813526,54512704,0,0,0,0,0,3,21,17,0,0,0,1
1290436200,52.25,52.91,52.17,52.91,0,0,0,0,0,0,0,0,52.32705413239817,50.44333482405522,47.40196240000004,4.6808343270691735,7.924426258478048,0,3,3,0,0,3.1431247706985204,2.057802259378339,36.020274001949716,0,0,0,18.03999,0,27.340553549939834,2.0912248496949593,0,0,0,0,0,0,0,0,0,0,59.6206591211338,69918816,0,0,0,0,0,3,21,17,0,0,0,1
1290522600,52.39,52.45,51.77,52.07001,0,0,0,0,0,0,0,0,52.302573738836436,50.49666843638128,47.446762450000044,5.1189101958441485,6.796920346451145,0,3,4,0,0,3.6298757360040486,2.057802259378339,37.57828782651463,0,0,0,18.37,0,25.318916967509043,3.6456076136054505,0,0,0,0,0,0,0,0,0,0,50.49784047112456,76900944,0,0,0,0,0,3,21,17,0,0,0,1
1290609000,52.58,53.25,52.56,53.12,0,0,0,0,0,0,0,0,52.38042385894725,50.582679307319594,47.49726245000004,4.709884601322297,7.283042108770522,0,3,1,0,0,3.175402853201991,2.057802259378339,36.12272553450973,0,0,0,20.63,0,27.845968712394708,1.70262453252308,0,0,0,0,0,0,0,0,0,0,58.952800056836594,53455536,0,0,0,0,0,3,21,17,0,0,0,1
1290781800,52.8,53.13,52.67,52.968,0,0,0,0,0,0,0,0,52.436383491428465,50.66088654314518,47.54375245000005,4.012307326957103,6.693861394347298,0,3,2,0,0,2.2481685058761567,2.2099507462984014,33.699238312514794,0,0,0,19.56,0,27.480144404332147,1.9838971430474757,0,0,0,0,0,0,0,0,0,0,57.423748813303334,23640288,0,0,0,0,0,3,21,17,0,0,0,1
1291041000,52.7,52.89999,52.10001,52.73,0,0,0,0,0,0,0,0,52.46434696843528,50.728726328615835,47.58860250000004,5.589119848570002,0,0,2,3,0,0,2.871067297856145,2.2099507462984014,39.2795921251292,0,0,0,22.22,0,26.90734055354994,2.4243108358422827,0,0,0,0,0,1,0,0,0,0,55.017521367370854,89265936,0,0,0,0,1,0,18,14,0,0,0,1
1291127400,52.17999,52.7355,51.88,52.08501,0,0,1,0,0,0,0,0,52.42821963810811,50.7731946457104,47.627427500000046,8.98320909818845,0,0,2,1,0,2,3.956602979327461,2.2099507462984014,52.08637987277608,0,0,0,21.53,0,25.355018050541517,3.617850448093185,0,0,0,0,0,0,0,0,0,0,49.02237008295425,118861504,0,0,0,0,1,0,18,14,0,0,0,1
1291213800,52.87,53.46001,52.84,53.19,0,0,0,0,0,0,0,0,52.50077014876448,50.85243416552317,47.670527450000044,5.747132261212255,0,0,2,1,0,0,3.0147149457127393,2.2099507462984014,39.8574326092372,0,0,0,23.53999,0,28.014440433213,1.573091093465787,0,0,0,0,0,0,0,0,0,0,57.55553664234423,81758064,0,0,0,0,1,0,18,14,0,0,0,1
1291300200,53.27,53.81,53.21001,53.73,0,0,0,0,0,0,0,0,52.617839658405956,50.94678058632569,47.71492740000005,5.624457640354327,0,0,2,2,0,0,2.9031925631146223,2.2099507462984014,39.40856590240665,0,0,0,21.36,0,29.314079422382672,0.5738331350238167,0,0,0,0,0,0,0,0,0,0,60.991946510716005,56883984,0,0,0,0,1,0,18,14,0,0,0,1
1291386600,53.5,53.94,53.5,53.87,0,0,0,0,0,0,0,0,52.737093024272056,51.042623845790416,47.760127400000044,5.541016542904353,0,0,2,3,0,0,2.8273370199782835,2.2099507462984014,39.10426788663506,0,0,0,19.39,0,29.651022864019254,0.3147662569092304,0,0,0,0,0,0,0,0,0,0,61.8542284179537,38014160,0,0,0,0,0,3,21,17,0,0,0,1
1291645800,53.86,53.95,53.67999,53.845,0,0,0,0,0,0,0,0,52.842607974341384,51.134505031174335,47.805652350000045,5.021891296727006,0,0,2,4,0,0,2.355404977998876,2.2099507462984014,37.230886819548424,0,0,0,18.00999,0,29.590854392298443,0.36102819942968944,0,0,0,0,0,0,0,0,0,0,61.592398801722695,39311536,0,0,0,0,0,3,21,17,0,0,0,1
1291732200,54.49001,54.52,53.82001,53.88,0,0,0,0,0,0,0,0,52.9414072148803,51.22452125966042,47.85425235000005,6.769001142013629,0,0,2,5,0,0,4.095835142452232,2.057802259378339,43.6561624012248,0,0,0,18.02,0,29.675090252707598,1.1738811445341168,0,0,0,0,0,0,0,0,0,0,61.8359646447043,59067232,0,0,0,0,0,3,21,17,0,0,0,1
1291818600,54.02,54.14999,53.6899,54.08,0,0,0,0,0,0,0,0,53.04984462298694,51.318143513442045,47.90160235000005,4.316968702980341,0,0,2,6,0,0,1.7145662564109987,2.2099507462984014,34.748050389180705,0,0,0,17.99001,0,30.15643802647413,0.8070432868672135,0,0,0,0,0,0,0,0,0,0,63.2693864858446,48066848,0,0,0,0,0,3,21,17,0,0,0,1
1291905000,54.41,54.44,53.95,54.13499,0,0,0,0,0,0,0,0,53.15319180175009,51.41049913595214,47.94927725000005,5.229301016109043,0,0,2,7,0,0,2.543959268346183,2.2099507462984014,37.97512901509969,0,0,0,17.74001,0,30.288784596871253,0.7061812179016895,0,0,0,0,0,0,0,0,0,0,63.673388034893705,51679728,0,0,0,0,0,3,21,17,0,0,0,1
1291991400,54.28999,54.55,54.09,54.495,0,0,0,1,0,0,0,0,53.28098305872627,51.511630311822564,47.99795230000005,4.357821992058694,14.236710524564916,0,2,8,0,0,1.751705610118593,2.2099507462984014,34.88984944057261,0,0,0,17.25,0,31.155234657039717,0.10082493125572818,0,0,0,0,0,0,0,0,0,0,66.28770753222881,44696144,0,0,0,0,0,3,21,17,0,0,0,1
1292250600,54.71001,54.74001,54.27,54.3,0,0,0,0,0,0,0,0,53.37803229122853,51.603052268811986,48.04240230000005,6.050650830093276,0,0,2,9,0,0,3.290640917422759,2.2099507462984014,40.975215488395754,0,0,0,17.61,0,30.68592057761733,0.8038179021158397,0,0,0,0,0,0,0,0,0,0,63.617086452279715,53110160,0,0,0,0,0,3,21,17,0,0,0,1
1292337000,54.42,54.62,54.23,54.395,0,0,0,0,0,0,0,0,53.47488635873057,51.694591538687,48.08662730000005,5.106457727325321,0,0,2,10,0,0,2.4322835512700713,2.2099507462984014,37.53362615346837,0,0,0,17.55,0,30.914560770156452,0.6302702538782784,0,0,0,0,0,0,0,0,0,0,64.37020997628915,69944000,0,0,0,0,0,3,21,17,0,0,0,1
1292423400,54.37,54.7,54.03,54.16,0,0,0,0,0,0,0,0,53.54013527694671,51.775424602992345,48.129427250000056,5.525456805304629,0,0,2,11,0,0,2.8131918039785333,2.2099507462984014,39.04761654265545,0,0,0,17.61,0,30.348977135980746,1.0595723310974943,0,0,0,0,0,0,0,0,0,0,61.00609444712609,76951808,0,0,0,0,0,3,21,17,0,0,0,1
1292509800,54.21001,54.66,54.06,54.58,0,0,0,0,0,0,0,0,53.63917001247559,51.86737789469751,48.17357725000005,4.739676544564147,13.776832142790445,0,2,12,0,0,2.098846112396278,2.2099507462984014,36.22792399408209,0,0,0,17.94,0,31.359807460890497,0.2923090441525308,0,0,0,0,0,0,0,0,0,0,64.56997803051502,65519392,0,0,0,0,0,3,21,17,0,0,0,1
1292596200,54.53999,54.67999,54.41,54.52,0,0,0,0,0,0,0,0,53.72305858271601,51.954349111264804,48.213977250000056,4.231744438020476,0,0,2,13,0,0,1.637089651902031,2.2099507462984014,34.45311403628413,0,0,0,17.39,0,31.215403128760542,0.4019180851446592,0,0,0,0,0,0,0,0,0,0,63.67465446837887,36849552,0,0,0,0,0,3,21,17,0,0,0,1
1292855400,54.59,54.75999,54.16,54.56,0,0,0,0,1,0,0,0,53.802767289124006,52.039780287944644,48.25412725000005,5.882565305396688,13.674872110723978,0,2,14,0,0,3.137835894971314,2.2099507462984014,40.354967352380235,0,0,0,16.11,0,31.31167268351385,0.36521190014826455,0,0,0,0,0,0,0,0,0,0,64.03271010501342,48159600,0,0,0,0,0,3,21,17,0,0,0,1
1292941800,54.76019,54.89,54.62,54.89,0,0,0,0,0,0,0,0,53.90631326158839,52.13323011456941,48.29462730000006,4.1414812222713415,14.065041472263712,0,2,15,0,0,1.5550321830391818,2.2099507462984014,34.14204046021363,0,0,0,16.41,0,32.105896510228646,0,0,0,0,0,0,0,0,0,0,0,66.92890612797582,35775344,0,0,0,0,0,3,21,17,0,0,0,1
1293028200,54.86,54.96001,54.78999,54.88499,0,0,0,0,0,0,0,0,53.99952057000854,52.223451750157295,48.33320225000005,4.525100554738796,14.263486627483175,0,2,16,0,0,1.9037770307368675,2.2099507462984014,35.47323557380034,0,0,0,16.49001,0,32.0938387484958,0.13649924736184543,0,0,0,0,0,0,0,0,0,0,66.84090848272206,35766432,0,0,0,0,0,3,21,17,0,0,0,1
1293114600,54.78,54.87,54.61,54.742,0,0,0,0,0,0,0,0,54.0702328966744,52.306027102611154,48.37016220000006,5.136137308275754,0,0,2,17,0,0,2.459264988497738,2.2099507462984014,37.64010893434131,0,0,0,15.45,0,31.7496991576414,0.3966702335025041,0,0,0,0,0,0,0,0,0,0,64.24465582346636,21668240,0,0,0,0,0,3,21,17,0,0,0,1
1293460200,54.62,54.86,54.21001,54.77,0,0,0,0,0,0,0,0,54.13687738270541,52.38681309924685,48.40721220000006,5.224477507136266,14.272651309057384,0,2,18,0,0,2.5395742601891125,2.2099507462984014,37.9577550316714,0,0,0,16.47,0,31.81708784596873,0.34572410012296906,0,0,0,0,0,0,0,0,0,0,64.53515156281253,29263424,0,0,0,0,0,3,21,17,0,0,0,1
1293546600,54.88,54.92,54.55,54.67,0,0,0,0,0,0,0,0,54.18765096530489,52.46167168615679,48.44436215000006,5.4253977386307275,0,0,2,19,0,0,2.722229016093168,2.2099507462984014,38.68402341408086,0,0,0,17.67,0,31.576413959085453,0.5276745764784162,0,0,0,0,0,1,0,0,0,0,62.57964817181686,24168608,0,0,0,0,0,3,21,17,0,0,0,1
1293633000,54.82001,54.89999,54.73,54.78999,0,0,0,0,0,0,0,0,54.24501658765681,52.538009991528696,48.48061215000006,5.152681327477735,0,0,2,20,0,0,2.4743050059540845,2.2099507462984014,37.699516612245695,0,0,0,17.52,0,31.8651985559567,0.30935219989951573,0,0,0,0,0,2,0,0,0,0,63.989648882991254,24132688,0,0,0,0,0,3,21,17,0,0,0,1
1293719400,54.78999,54.8,54.55,54.66,0,0,0,0,0,0,0,0,54.28453881740378,52.607583434429394,48.51556215000005,5.2140162659318925,0,0,2,21,0,0,2.5300640409124098,2.2099507462984014,37.92008489392687,0,0,0,17.28,0,31.55234657039711,0.54586962411397,0,0,0,0,0,3,0,0,0,0,61.29509566009017,27562160,0,0,0,0,0,3,21,17,0,0,0,1
1293805800,54.60001,54.62,54.21001,54.46001,0,0,0,0,0,0,0,0,54.30125035860342,52.668318731661216,48.548712200000054,6.433459923860153,0,0,2,22,0,0,3.0784163556382005,2.7701835751437556,42.39827697227143,0,0,0,17.52,0,31.071022864019255,0.9097523817772232,0,0,0,0,0,4,0,0,1,0,57.29752695435591,38565920,0,0,0,0,0,3,21,17,0,0,1,1
1294065000,54.959,55.69,54.95,55.31,0,0,0,0,0,0,0,0,54.39732175302214,52.754931232262486,48.587812150000055,6.377305004021895,0,0,2,23,0,0,3.317598918278754,2.4799510853775137,42.188675118537645,0,0,0,17.75,0,33.11672683513841,0.6823487161070129,0,0,0,0,0,0,0,0,0,1,67.11427856744844,90994320,0,0,0,0,0,3,21,17,0,0,0.5,1
1294151400,55.53,55.55,54.92,55.265,0,0,0,0,0,0,0,0,54.47995777654384,52.837228568909616,48.62453715000005,6.251302342986707,0,0,2,24,0,0,3.473051383689514,2.2099507462984014,41.719395604224616,0,0,0,17.61,0,33.00842358604093,0.7631531693302158,0,0,0,0,0,0,0,0,0,0,66.2460024958587,43851456,0,0,0,0,0,3,21,17,0,0,0,1
1294237800,55.11,55.75999,55.07001,55.74001,0,0,0,1,0,0,0,0,54.59996275020633,52.93240173058471,48.66197470000006,5.934207593315558,15.544785016622734,0,2,25,0,0,3.184783429443014,2.2099507462984014,40.54521319642036,0,0,0,17.38,0,34.15164861612516,0.03583214415928676,0,0,0,0,0,0,0,0,0,0,70.5736703759266,43787168,0,0,0,0,0,3,21,17,0,0,0,1
1294324200,55.78999,55.96001,55.67999,55.92,0,0,0,0,0,0,0,0,54.72568058352002,53.03035577220488,48.70147470000004,4.987616746378982,14.57668074134669,0,2,26,0,0,2.324246295864309,2.2099507462984014,37.10847050999577,0,0,0,17.02,0,34.58483754512637,0.07149748543646653,0,0,0,0,0,0,0,0,0,0,72.03668181676125,46139536,0,0,0,0,0,3,21,17,0,0,0,1
1294410600,56.02,56.05,55.32001,55.87,0,0,0,0,0,0,0,0,54.83466338508954,53.123458861640785,48.74107470000004,6.565208959047406,14.509292772636817,0,2,27,0,0,3.7584210346537854,2.2099507462984014,42.8911009722694,0,0,0,17.39999,0,34.46450060168472,0.32114183764495935,0,0,0,0,0,0,0,0,0,0,70.98093530471614,72261632,0,0,0,0,0,3,21,17,0,0,0,1
1294669800,55.72,56.17999,55.58,56.08,0,0,0,0,0,0,0,0,54.95326687222387,53.220394636668956,48.781474700000054,5.506409543568666,14.9485902531138,0,2,28,0,0,2.7958761114912942,2.2099507462984014,38.97830769866242,0,0,0,17.14,0,34.9699157641396,0.1779815197546284,0,0,0,0,0,0,0,0,0,0,72.78498504070494,55551760,0,0,0,0,0,3,21,17,0,0,0,1
