time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,101.73,102.27,98.42999,98.92,0,0,0,0,0,0,0,0,101.21227493734497,102.0406589451407,96.99905484999954,11.416406449578071,7.0802223759155165,1,4,8,0,5,4.731089988974695,2.953806066112051,61.19763040018012,0,0,0,21.57001,0,13.31042382588775,9.529906713005305,0,2,0,0,0,1,0,0,1,0,38.75495681650796,25543440,0,0,0,0,0,3,21,17,0,0,1,1
1288877400,99.17,99.8705,99.08,99.69,0,0,0,0,0,0,1,0,101.06729637188354,101.96358816005413,97.03670484999954,7.11126624598717,6.969814387194113,1,4,9,0,2,2.947600873873693,2.953806066112051,44.94770696732615,1,0,0,19.56,0,14.192439862542958,8.825681360892633,0,2,0,0,0,2,0,0,1,0,42.41936658550957,13247461,0,0,0,0,0,3,21,17,0,0,1,1
1288963800,98.35001,98.8,97.98,97.98,0,0,0,0,0,0,0,0,100.77326814598987,101.8329787121835,97.06660484999954,10.764625002798624,6.442924961286723,1,4,10,0,5,4.006888381441974,2.953806066112051,58.80587959706622,0,0,0,18.52,0,12.233676975945025,10.38961038961039,0,2,0,0,0,3,0,0,1,0,37.10923634637309,12434996,0,0,0,0,0,3,21,17,0,0,1,1
1289226600,98.59,98.92,97.8196,98.42,0,0,0,0,0,0,1,0,100.54914737018132,101.72107777080043,97.10080484999953,9.54835253773398,5.253680773223514,1,4,11,0,5,2.6554745313701473,2.953806066112051,54.23816735009247,1,0,0,18.25999,0,12.737686139748,9.98719590268886,0,2,0,0,0,4,0,0,1,0,39.217668346960096,6795527,0,0,0,0,0,3,21,17,0,0,1,1
1289313000,98.49001,98.52,96.19,96.25,0,0,0,0,0,0,0,0,100.13970476349738,101.5416981717578,97.12400484999952,11.105901014528671,6.776617061644992,1,4,12,0,5,4.386083950030916,2.953806066112051,60.06417285184212,0,0,0,18.28999,0,10.252004581901494,11.971830985915496,0,2,0,0,0,5,0,0,1,0,33.29006522992702,15064277,0,0,0,0,0,3,21,17,0,0,1,1
1289399400,96.35001,96.74001,95,96.38,0,0,0,0,0,0,1,0,99.78163764316429,101.3724621661264,97.14810484999951,9.728275766764996,7.338248017726155,1,4,13,0,5,3.215552605169724,2.593642691235828,54.920304697164276,1,0,0,19.08,0,10.400916380297822,11.852935796597777,0,0,0,0,0,6,0,0,1,0,33.93429637214824,18540496,0,0,0,0,0,3,21,17,0,0,1,1
1289485800,96.45,96.63,96.14,96.33,0,0,0,0,0,0,1,0,99.45291024857721,101.2071355377288,97.17220489999953,9.322494095666825,5.298700197331119,1,4,14,0,5,2.7066329678560614,2.651693805107077,53.37965316123532,1,0,0,18.47,0,10.343642611683851,11.898664715566127,0,2,0,0,0,7,0,0,0,1,33.79909918379521,3370330,0,0,0,0,0,3,21,17,0,0,0.5,1
1289572200,96.21001,96.74001,95.81,95.81,0,0,0,0,0,0,0,0,99.10596641537938,101.03018027419671,97.18970489999953,9.808639635051609,6.022373400928123,1,4,15,0,5,3.5289888810344747,2.3694996023562016,55.22440472127849,0,0,0,18.64,0,9.747995418098517,12.374245472837023,0,2,0,0,0,8,0,0,0,0,32.35534623088064,11739586,0,0,0,0,0,3,21,17,0,0,0,1
1289831400,95.33,95.72,93.81,93.81,0,0,0,0,0,0,0,0,98.60158866153373,100.7934530520919,97.20300494999952,11.954052575344965,6.7743380311610135,1,4,16,0,5,4.383494142662759,3.898786496609424,63.131273670382136,0,0,0,20.61,0,7.457044673539524,14.203402231571246,0,0,0,0,0,9,1,0,1,0,27.491331609373958,14978633,0,0,0,0,0,3,21,17,0,2,1,1
1289917800,94.91,96.25,93.99001,96.138,0,0,0,0,0,0,1,0,98.36696116995908,100.64081524710528,97.22664494999952,7.448135966610637,7.7369573854502605,1,4,17,0,2,3.5055230544236182,2.7701835751437556,46.22558753697362,1,0,0,20.2,0,10.123711340206196,12.074263764404607,0,0,0,0,0,10,0,0,1,0,38.988662483859855,19913472,0,0,0,0,0,3,21,17,0,0,1,1
1290004200,95.8,96.75999,95.34,95.61,0,0,0,0,0,0,1,0,98.10439343948678,100.4758704849051,97.25294489999953,10.000642767304454,6.112912491849928,1,4,18,0,5,3.6318742116274345,2.4799510853775137,55.94933051576961,1,0,0,22.58,0,9.518900343642613,12.557161148710447,0,0,0,0,0,11,0,0,0,1,37.53494983244829,9915563,0,0,0,0,1,0,18,14,0,0,0.5,1
1290090600,95.67999,96,94.8,96,0,0,0,0,0,0,1,0,97.90397501667852,100.329120632941,97.27404489999954,4.878198687864969,6.803408036073334,1,4,19,0,0,2.826578073058581,2.593642691235828,36.71878168495518,1,0,0,21.75999,0,9.965635738831619,12.200475580757274,0,0,0,0,0,0,0,0,1,0,39.33423210155807,12425313,0,0,0,0,1,0,18,14,0,0,1,1
1290177000,96.09,96.59,95.78999,96.59,0,0,0,0,0,0,1,0,97.77883453889962,100.20652651382818,97.29709489999954,4.666489295507103,6.400142849509183,1,4,20,0,0,2.533294301011926,2.651693805107077,35.96973027381556,1,0,0,18.75,0,10.641466208476526,11.660874336930675,0,2,0,0,0,0,0,0,0,1,42.05355686991807,8359477,0,0,0,0,0,3,21,17,0,0,0.5,1
1290436200,97.37,97.62,96.24001,97,0,0,0,0,0,0,1,0,97.70465982090917,100.10139449698136,97.32159484999954,5.562478534880744,6.270571436316611,1,4,21,0,0,3.811032103066847,2.3694996023562016,39.18245689875928,1,0,0,18.03999,0,11.111111111111114,11.285897201390162,0,2,0,0,0,0,0,0,0,0,43.93430700717585,10414363,0,0,0,0,0,3,21,17,0,0,0,1
1290522600,97.67,97.95,97.24001,97.48,0,0,0,0,0,0,1,0,97.68326364748926,100.0154471364246,97.35309489999955,5.264924529417936,5.97962974208631,1,4,22,0,0,3.480416541441505,2.3694996023562016,38.103537919576155,1,0,0,18.37,0,11.660939289805277,10.846899579293945,0,2,0,0,0,0,0,0,0,0,46.13837912968961,9566844,0,0,0,0,0,3,21,17,0,0,0,1
1290609000,96.81,96.99001,95.58,95.74001,0,0,0,0,0,0,1,0,97.4981918715379,99.87526886965658,97.38024494999952,5.632887655729802,6.613709571856209,1,4,23,0,0,4.200961802543663,2.057802259378339,39.439355159031415,1,0,0,20.63,0,9.66782359679267,12.43825681360893,0,0,0,0,0,1,0,0,0,0,39.999692572163426,11467563,0,0,0,0,0,3,21,17,0,0,0,1
1290781800,96.72,97.12,96.55,97.01601,0,0,0,0,0,0,1,0,97.4522697885343,99.78152267720883,97.41622494999952,4.695939738544795,6.6036742057520055,1,4,24,0,0,2.6813171055521603,2.5363937150531677,36.073530396550744,1,0,0,19.56,0,11.129450171821304,11.2712548015365,0,2,0,0,0,0,0,0,0,0,45.70479217064614,4848875,0,0,0,0,0,3,21,17,0,0,0,1
1291041000,97.56,97.94501,97.09,97.89999,0,0,0,0,0,0,1,0,97.49490980867388,99.71983308123477,97.45477489999952,4.47692795739989,6.717931955485092,1,4,25,0,0,2.764413650812587,2.2099507462984014,35.304780548401546,1,0,0,22.22,0,12.14202749140894,10.462785805743554,0,0,0,0,0,0,0,0,0,0,49.301315593977534,8950043,0,0,0,0,1,0,18,14,0,0,0,1
1291127400,99.21001,99.27,98.11,98.41,0,0,0,0,0,0,1,0,97.58206125546684,99.67688773430903,97.49502489999952,5.556863359225997,6.405484035673945,1,4,26,0,0,3.9643418750638175,2.2099507462984014,39.16199465564428,1,0,0,21.53,0,12.7262313860252,9.996341686482538,0,0,0,0,0,0,0,0,0,0,51.30543157017809,11947582,0,0,0,0,1,0,18,14,0,0,0,1
1291213800,96.64999,97.11,95.89,95.894,0,0,0,0,0,0,1,0,97.42129351685095,99.55285862826611,97.52784489999951,7.0504947700474725,6.105923637366054,1,4,27,0,2,3.6239323315321235,2.2099507462984014,44.71783529387669,1,0,0,23.53999,0,9.844215349369998,12.297420888970183,0,0,0,0,0,0,0,0,0,0,42.40078501450199,15445895,0,0,0,0,1,0,18,14,0,0,0,1
1291300200,95.96001,96.53999,95.53011,95.64,0,0,0,0,0,0,1,0,97.2516465152461,99.4245681814377,97.5611948999995,4.249122130008814,4.839533910157393,1,4,28,0,0,2.1848530960677364,2.5363937150531677,34.513156927088936,1,0,0,21.36,0,9.553264604811,12.529723797329433,0,2,0,0,0,1,0,0,0,0,41.61551967913191,9319199,0,0,0,0,1,0,18,14,0,0,0,1
1291386600,96.28,96.33,94.85001,94.89,0,0,0,0,0,0,0,0,97.02672779950836,99.2758938148332,97.5883948999995,10.073929323597714,6.134900943888762,1,4,29,0,5,3.656861088944292,2.5363937150531677,56.22538029909592,0,0,0,19.39,0,8.69415807560138,13.215657581854767,0,2,0,0,0,2,0,0,0,0,39.30101266995189,10195109,0,0,0,0,0,3,21,17,0,0,0,1
1291645800,95.52,96.25,95.31,96.23,0,0,0,0,0,0,1,0,96.95084896145995,99.17602844385506,97.62414489999951,4.653069820179561,6.538178497138453,1,4,30,0,0,2.6336838629241224,2.5363937150531677,35.92247583738815,1,0,0,18.00999,0,10.229095074455907,11.990122553502834,0,2,0,0,0,3,0,0,0,0,45.16861426739017,7004488,0,0,0,0,0,3,21,17,0,0,0,1
1291732200,94.72,94.92,93.16,94.17,0,0,0,0,0,0,1,0,96.68600620322567,99.01189636372867,97.64264489999952,10.085940069225806,6.293511603231782,1,4,31,0,5,3.8371004745613604,2.3694996023562016,56.27058511426816,1,0,0,18.02,0,7.869415807560143,13.874154014999087,0,2,0,0,0,4,0,0,0,0,38.93714592923717,18536784,0,0,0,0,0,3,21,17,0,0,0,1
1291818600,93.72,93.8,92.11,93.25999,0,0,0,0,0,0,0,0,96.35971894577561,98.82330926983592,97.65549484999953,9.962832166072209,6.205345222302925,1,4,32,0,5,3.3592710790678053,2.710542438790203,55.80676353856981,0,0,0,17.99001,0,6.827021764032079,14.706429486006952,1,2,0,0,0,5,0,0,0,0,36.53900878768264,19276640,0,0,0,0,0,3,21,17,0,0,0,1
1291905000,93.60001,94.27,92.73,93.72,0,0,0,0,0,0,1,0,96.10831714141602,98.65598765443146,97.66809484999952,9.051271576140264,6.7149768891838875,1,4,33,0,5,2.520574702880459,2.5363937150531677,52.346098090839064,1,0,0,17.74001,0,7.353951890034366,14.28571428571429,0,2,0,0,0,6,0,0,0,0,38.59774183142015,17477328,0,0,0,0,0,3,21,17,0,0,0,1
1291991400,93.28999,93.86,93.14,93.14999,0,0,0,0,0,0,0,0,95.8265716993764,98.4754631411714,97.67549479999953,8.777066470617514,6.022509415280859,1,4,34,0,5,2.041753639673703,2.710542438790203,51.29913388005713,0,0,0,17.25,0,6.701019473081335,14.807033107737333,1,2,0,0,0,7,0,0,0,0,36.996157932097084,7079465,0,0,0,0,0,3,21,17,0,0,0,1
1292250600,93.05,94.03,92.56,93.5,0,0,0,0,0,1,1,0,95.60499344229294,98.3123332021166,97.68629479999953,9.367047619511297,8.36029204128074,1,4,35,0,5,2.8714369732927176,2.5363937150531677,53.549181128475645,1,0,0,17.61,0,7.101947308132879,14.486921529175053,0,2,0,0,0,8,0,0,0,0,38.678759880873905,12400422,0,0,0,0,0,3,21,17,0,0,0,1
1292337000,92.39999,93.02,91.44,92.13499,0,0,0,0,0,0,0,0,95.27451692397932,98.10979735942426,97.69086974999954,12.867292243301723,8.14842984360528,1,4,36,0,5,4.245867773411394,5.051123608034964,66.31849229106295,0,0,0,17.55,0,5.538361970217646,15.735330162794952,2,2,0,0,0,9,1,0,1,0,34.777920829604895,23519376,0,0,0,0,0,3,21,17,0,2,1,1
1292423400,92.08,92.24001,90.47,90.94,0,0,0,0,0,0,0,0,94.86170578836224,97.87472203616446,97.69061969999953,11.329229315591014,6.980868305213846,2,4,37,0,5,4.04266028445938,3.545372288419526,60.88056592856693,0,0,0,17.61,0,4.169530355097366,16.82824218035486,2,2,0,0,0,10,0,0,1,0,31.75827811949064,26088720,0,0,0,0,0,3,21,17,0,0,1,1
1292509800,91.03,91.58,90.57001,91.57001,0,0,0,0,0,0,1,0,94.54821095137537,97.66801016612628,97.69111974999953,10.259201389529371,7.347220258982615,2,4,38,0,5,2.853740366613108,3.545372288419526,56.92149379422629,1,0,0,17.94,0,4.89119129438717,16.25204865556979,2,2,0,0,0,11,0,0,1,0,34.96433614296127,17939168,0,0,0,0,0,3,21,17,0,0,1,1
1292596200,91.88,93.77,91.86,93.24001,0,0,0,0,0,0,1,0,94.42362038457772,97.52282983281066,97.70596979999954,5.78024377491577,7.932345432373731,1,4,39,0,0,3.4059336433821636,3.0165594398575806,39.97888392792316,1,0,0,17.39,0,6.80413516609393,14.724702762026709,1,2,0,0,0,12,0,0,0,1,42.65510681057278,16850640,0,0,0,0,0,3,21,17,0,0,0.5,1
1292855400,93.75,94.23,92.64,93.14,0,0,0,0,0,0,1,0,94.30137082414174,97.37913049402998,97.72266979999951,7.632948310771542,6.741377145953052,1,4,40,0,2,3.7705112398448426,2.710542438790203,46.928875905632054,1,0,0,16.11,0,6.68957617411226,14.816169745747212,1,2,0,0,0,0,0,0,0,0,42.332256401530515,13703969,0,0,0,0,0,3,21,17,0,0,0,1
1292941800,93.13,93.78999,92.49001,93.78999,0,0,0,0,0,0,1,0,94.2526678885092,97.2614537565208,97.7425196999995,4.633267075912295,7.014388373779715,1,4,41,0,0,2.6116808137382717,2.5363937150531677,35.85279367186476,1,0,0,16.41,0,7.434123711340213,14.221702944942383,0,2,0,0,0,0,0,0,0,0,45.233557291122565,8985008,0,0,0,0,0,3,21,17,0,0,0,1
1293028200,93.47,93.55,92.92999,93.12,0,0,0,0,0,0,1,0,94.14479475627023,97.12566838745454,97.76016969999951,6.95913617009777,5.9083980262390305,1,4,42,0,2,3.0218310835406523,2.710542438790203,44.37269353074171,1,0,0,16.49001,0,6.666666666666675,14.834461313334552,1,2,0,0,0,0,0,0,0,0,42.84098228670192,6440844,0,0,0,0,0,3,21,17,0,0,0,1
1293114600,93.17999,93.23,92.53,92.92999,0,0,0,0,0,0,1,0,94.02909906519687,96.98810516163635,97.77521964999951,5.095226943958653,5.845909005125228,1,4,43,0,0,2.9508208322749665,2.710542438790203,37.493364323654745,1,0,0,15.45,0,6.449014891179846,15.008240351198095,1,2,0,0,0,1,0,0,0,0,42.15990366478877,7091738,0,0,0,0,0,3,21,17,0,0,0,1
1293460200,92.75999,93.88,92.3,93.75999,0,0,0,0,0,0,1,0,94.00346963041622,96.88226532027123,97.79161959999952,4.709828785641819,7.131357652533153,1,4,44,0,0,2.696749380104409,2.5363937150531677,36.122528568029104,1,0,0,16.47,0,7.3997594501718265,14.249140296323395,0,2,0,0,0,0,0,0,0,0,46.18457931262975,5286379,0,0,0,0,0,3,21,17,0,0,0,1
1293546600,92.92999,93.07001,91.31,91.61,0,0,0,0,0,0,1,0,93.77552014180515,96.70940416222955,97.7978695999995,11.564768885417532,7.211173662377552,2,4,45,0,5,4.304370917599955,3.545372288419526,61.73504062245575,1,0,0,17.67,0,4.936998854524631,16.215474666178896,2,2,0,0,0,1,0,0,1,0,38.677032416667046,13976188,0,0,0,0,0,3,21,17,0,0,1,1
1293633000,91.75999,93.52,91.47,93.16,0,0,0,0,0,0,1,0,93.71689917591894,96.5930302552712,97.8082695999995,6.938314333690587,6.504681361512764,1,4,46,0,2,2.367632500937824,3.3416056476072726,44.29410586362488,1,0,0,17.52,0,6.712485681557847,14.797878178159873,1,2,0,0,0,0,0,0,1,0,45.54908094485273,13115973,0,0,0,0,0,3,21,17,0,0,1,1
1293719400,92.88,93.28,92.41,93.09,0,0,0,0,0,0,1,0,93.65719449249809,96.4781768042787,97.8163695999995,4.128673768500854,5.409113478128719,1,4,47,0,0,1.570855858476701,3.0165594398575806,34.0980118220881,1,0,0,17.28,0,6.632302405498288,14.861898664715564,1,2,0,0,0,0,0,0,0,1,45.30217410310373,7030273,0,0,0,0,0,3,21,17,0,0,0.5,1
1293805800,93.50999,94.7,93.44,94.12,0,0,0,0,0,0,1,0,93.70127120749828,96.40085953200727,97.83111959999951,4.065923468302359,5.973472835542645,1,4,48,0,0,1.9812990275050097,2.5363937150531677,33.88269026168344,1,0,0,17.52,0,7.812142038946171,13.91988293396744,0,2,0,0,0,0,0,0,0,0,49.62889473287244,8515949,0,0,0,0,0,3,21,17,0,0,0,1
