time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1288791000,1.418665,1.499998,1.410665,1.451332,0,0,0,0,0,0,0,0,1.4003200067355142,1.3692045605324894,NaN,5.2582984214438735,7.810383779122261,0,2,90,0,0,2.722469032843364,2.057802259378339,38.07964072206207,0,0,0,21.57001,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,59.10011901955361,5612990,0,0,0,0,1,0,19,15,0,0,0,0.7394968663903103
1288877400,1.506666,1.688665,1.476732,1.659998,0,0,0,0,1,0,0,0,1.4250512441892746,1.3787387716625716,NaN,7.0976742786616915,11.788743147255353,0,2,91,0,0,3.858788471183891,2.593642691235828,44.896275461697414,0,0,0,19.56,0,NaN,NaN,0,0,0,0,0,0,0,0,1,0,75.45313208454249,28122043,0,0,0,0,1,0,20,16,0,0,1,0.6362670287887598
1288963800,1.657998,1.664665,1.581332,1.629332,0,0,0,0,0,0,0,0,1.4445065542664866,1.386954943083471,NaN,6.608872541640066,10.106255726899663,0,2,92,0,0,3.6925689023974813,2.3154970445480325,43.05474670142877,0,0,0,18.52,0,NaN,NaN,0,0,0,0,0,0,0,0,0,1,70.96262354520736,15164205,0,0,0,0,1,0,20,16,0,0,0.5,0.6358329858441665
1289226600,1.633332,1.666665,1.601998,1.665332,0,0,0,0,0,0,0,0,1.4655375490982498,1.396082059703685,NaN,4.784090874280784,12.068335771899418,0,2,93,0,0,2.2913712626951006,2.057802259378339,36.38500064496335,0,0,0,18.25999,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,72.99451406290898,7642132,0,0,0,0,1,0,20,16,0,0,0,0.6410737551049633
1289313000,1.666665,1.712665,1.603338,1.641998,0,0,0,0,0,0,0,0,1.482343306326988,1.4041448774183183,NaN,6.306030766507941,10.336509249056588,0,2,94,0,0,3.674952982901607,2.057802259378339,41.923045076679,0,0,0,18.28999,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,69.59518282827807,14366249,0,0,0,0,1,0,20,16,0,0,0,0.6411675464123859
1289399400,1.631998,1.997998,1.603332,1.957331,0,0,0,0,0,0,0,0,1.5275802295339416,1.4222821273390291,NaN,6.846884159971131,12.843037161793381,0,2,95,0,0,3.6307974541924715,2.593642691235828,43.94936487297644,0,0,0,19.08,0,NaN,NaN,0,0,0,0,0,0,0,0,1,0,81.87760073111008,45915615,0,0,0,0,1,0,20,16,0,0,1,0.5089515164712599
1289485800,1.906665,1.939999,1.821998,1.868998,0,0,0,0,1,0,0,0,1.5600962076735663,1.4369285493934871,NaN,7.4432388413737,12.695323380010176,0,2,96,0,0,4.451083720337149,2.3154970445480325,46.20697109184104,0,0,0,18.47,0,NaN,NaN,0,0,0,0,0,0,0,0,0,1,72.98345696274461,29176439,0,0,0,0,1,0,20,16,0,0,0.5,0.5034644406738299
1289572200,1.883331,2.033331,1.871332,1.989331,0,0,0,0,0,0,0,0,1.6009757117046552,1.4550401051510777,NaN,5.98473132834916,13.296263509014803,0,2,97,0,0,3.3828625845754425,2.057802259378339,40.73161358914836,0,0,0,18.64,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,76.69706533311529,40937575.00000001,0,0,0,0,1,0,20,16,0,0,0,0.49533543494233273
1289831400,2.014665,2.195964,2.014665,2.053331,0,0,0,0,0,0,0,0,1.6440571677327833,1.4746562000641572,NaN,6.059988677840672,12.64107817727236,0,2,98,0,0,3.451278356840454,2.057802259378339,41.00975912647083,0,0,0,20.61,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,78.39782779525838,39377034.00000001,0,0,0,0,1,0,20,16,0,0,0,0.4940945430304611
1289917800,2.066665,2.093331,1.894665,1.977998,0,0,0,0,0,0,0,0,1.6758610565201373,1.4911592098981192,NaN,6.489013680656262,11.414579897648826,0,2,99,0,0,3.6891525997527452,2.2099507462984014,42.60590444151979,0,0,0,20.2,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,71.75888819179377,20215985,0,0,0,0,1,0,20,16,0,0,0,0.49436918336387503
1290004200,2.013331,2.049998,1.907331,1.965999,0,0,0,0,0,0,0,0,1.7034932416134576,1.5067277276063775,NaN,6.386726997071914,11.347628613848165,0,2,100,0,0,3.5961647055851573,2.2099507462984014,42.22382388815959,0,0,0,22.58,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,70.73145928542496,11255126,0,0,0,0,1,0,20,16,0,0,0,0.5013281696024131
1290090600,2.044665,2.049332,1.928005,1.992665,0,0,0,0,1,0,0,0,1.7310334090788426,1.5226600971930537,NaN,6.957857468938342,11.831006378743178,0,2,101,0,0,4.26752271238379,2.057802259378339,44.36786652484699,0,0,0,21.75999,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,71.70116971888669,14343734,0,0,0,0,1,0,20,16,0,0,0,0.5034170499642027
1290177000,2.010665,2.091331,1.979998,2.065999,0,0,0,0,0,0,0,0,1.7629348939284766,1.5404744874490193,NaN,5.052066420969419,12.342401671921886,0,2,102,0,0,2.5349853960484054,2.057802259378339,37.33879724179931,0,0,0,18.75,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,74.22982988356647,17257427,0,0,0,0,1,0,20,16,0,0,0,0.5018419687039691
1290436200,2.104665,2.229998,2.099998,2.226664,0,0,0,0,0,0,0,0,1.807099570697193,1.5629725042539695,NaN,5.960689240456281,13.27167501003345,0,2,103,0,0,3.361006141036461,2.057802259378339,40.64287997730484,0,0,0,18.03999,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,78.71685391839038,22949602,0,0,0,0,1,0,20,16,0,0,0,0.4901447123032141
1290522600,2.21933,2.378664,2.146004,2.304665,0,0,0,0,0,0,0,0,1.8544867544403176,1.587290290999741,NaN,5.4163357909222585,12.714949891191836,0,2,104,0,0,2.8661393687328047,2.057802259378339,38.65115578384619,0,0,0,18.37,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,80.49268698579024,23671073,0,0,0,0,1,0,20,16,0,0,0,0.48859972373172633
1290609000,2.351331,2.397998,2.288931,2.364664,0,0,0,0,0,0,0,0,1.9030750635412397,1.6127779535899134,NaN,5.49873756475077,12.067071357066778,0,2,105,0,0,2.9410500722132698,2.057802259378339,38.95040359090057,0,0,0,20.63,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,81.75383601886047,21374406,0,0,0,0,1,0,20,16,0,0,0,0.4902151624546042
1290781800,2.373332,2.399998,2.316664,2.354665,0,0,0,0,0,1,0,0,1.9460836289182644,1.6371021190459818,NaN,4.498351437533755,10.843754050418312,0,2,106,0,0,1.8794596514595574,2.2099507462984014,35.379651649391505,0,0,0,19.56,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,80.8161352412827,5258315,0,0,0,0,1,0,20,16,0,0,0,0.49353852569030826
1291041000,2.360811,2.396664,2.221998,2.288664,0,0,0,0,0,0,0,0,1.9787103309260488,1.658464803667425,NaN,5.735648644272732,10.921468237470517,0,2,107,0,0,3.0042752939495365,2.2099507462984014,39.815340349375894,0,0,0,22.22,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,74.72367128495264,17183162,0,0,0,0,1,0,20,16,0,0,0,0.4910805797561569
1291127400,2.249332,2.355331,2.227331,2.355331,0,0,0,0,0,0,0,0,2.0145789660759488,1.681312875678329,NaN,6.138077070327762,12.54977425816727,0,2,108,0,0,3.3701193176359276,2.2099507462984014,41.29897689195839,0,0,0,21.53,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,76.63935904817379,33344403,0,0,0,0,1,0,20,16,0,0,0,0.49033461365804787
1291213800,2.391331,2.427998,2.229998,2.289998,0,0,0,0,0,0,0,0,2.0408093502591917,1.7012697650003512,NaN,6.513414446075914,8.65868570651121,0,2,109,0,0,3.7113351137706116,2.2099507462984014,42.697183159024085,0,0,0,23.53999,0,NaN,NaN,0,0,0,0,0,1,0,0,0,0,70.96325158449065,19487644,0,0,0,0,1,0,20,16,0,0,0,0.4897253035953836
1291300200,2.26733,2.286498,2.079998,2.156665,0,0,0,0,0,0,0,0,2.0518432216630784,1.7162007563118151,NaN,6.481745416064093,7.399038579444214,0,2,110,0,0,3.6825450864871376,2.2099507462984014,42.57872492525269,0,0,0,21.36,0,NaN,NaN,0,0,0,0,0,2,0,0,0,0,61.029205019338704,30104535,0,0,0,0,1,0,20,16,0,0,0,0.4792764305549187
1291386600,2.133997,2.149998,2.057998,2.099332,0,0,0,0,0,0,0,0,2.056365962457071,1.7287624364327392,NaN,5.573399963291436,5.0044851921748394,0,2,111,0,0,2.8567764930574495,2.2099507462984014,39.22226652337631,0,0,0,19.39,0,NaN,NaN,0,0,0,0,0,3,0,0,0,0,57.313820691763524,17406917,0,0,0,0,1,0,20,16,0,0,0,0.47721725497289125
1291645800,2.089999,2.096665,1.970665,2.020665,0,0,1,0,0,0,0,0,2.052965870794493,1.7383330122874034,NaN,6.05101039945895,4.913735295443103,0,2,112,0,0,2.7307349698189265,2.7701835751437556,40.97654548405251,0,0,0,18.00999,0,NaN,NaN,0,0,0,0,0,4,0,0,1,0,52.58352456588141,19115644,0,0,0,0,1,0,20,16,0,0,1,0.4751904913707102
1291732200,2.032665,2.159997,2.003331,2.103998,0,0,0,0,0,0,0,0,2.0578260735759697,1.7503220282779803,NaN,5.195473029833465,5.656223904386619,0,2,113,0,0,2.4076602553005717,2.3154970445480325,37.85334790235405,0,0,0,18.02,0,NaN,NaN,0,0,0,0,0,5,0,0,0,1,56.66379507617514,19673239,0,0,0,0,1,0,20,16,0,0,0.5,0.4735446662549015
1291818600,2.165331,2.165999,2.101331,2.157998,0,0,0,0,0,0,0,0,2.067366257044925,1.7636884535803417,NaN,6.300412837848136,5.7859716751245704,0,2,114,0,0,3.5176972881089954,2.2099507462984014,41.90212744841473,0,0,0,17.99001,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,59.11875937611257,9914709,0,0,0,0,1,0,20,16,0,0,0,0.4731358488211193
1291905000,2.16733,2.181331,2.109997,2.136665,0,0,0,0,0,0,0,0,2.073966137326361,1.7759171928072157,NaN,4.429068073371765,4.561091465649127,0,2,115,0,0,1.8164747749486572,2.2099507462984014,35.137779862212916,0,0,0,17.74001,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,57.72746306463356,6089751,0,0,0,0,1,0,20,16,0,0,0,0.47489801061800235
1291991400,2.136665,2.194664,2.075338,2.101331,0,0,0,0,0,0,0,0,2.07657231472385,1.7865864979610775,NaN,4.547909759774281,5.475933477884412,0,2,116,0,0,1.9245126716782168,2.2099507462984014,35.55312333664353,0,0,0,17.25,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,55.40181564235612,6440721,0,0,0,0,1,0,20,16,0,0,0,0.4803942577236034
1292250600,2.109331,2.117998,2.026664,2.036665,0,0,0,0,0,0,0,0,2.0727716180834834,1.7947857931098947,NaN,5.74500340502614,6.42687841787886,0,2,117,0,0,3.012779621907181,2.2099507462984014,39.84962832658513,0,0,0,17.61,0,NaN,NaN,0,0,0,0,0,1,0,0,0,0,51.326415864013725,6154971,0,0,0,0,1,0,20,16,0,0,0,0.48097462584104334
1292337000,2.019331,2.025991,1.850731,1.901998,0,0,0,0,0,0,0,0,2.0565074639802945,1.7983009474341605,NaN,9.673939615824724,6.2379775249775635,0,2,118,0,2,3.650146079258069,3.1443444805825873,54.714484677165665,0,0,0,17.55,0,NaN,NaN,0,2,0,0,0,2,0,0,1,0,44.05798417516099,26503676,0,0,0,0,1,0,20,16,0,0,1,0.4715952721199045
1292423400,1.911331,1.997998,1.901998,1.973332,0,0,0,0,0,0,0,0,2.0485859912202664,1.804039670469106,NaN,7.809811114401541,5.000823398528557,0,2,119,0,2,1.9554838052369954,3.1443444805825873,47.60306091045173,0,0,0,17.61,0,NaN,NaN,0,2,0,0,0,3,0,0,1,0,48.239362527683355,11143511,0,0,0,0,1,0,20,16,0,0,1,0.4703451327121951
1292509800,1.999998,2.060665,1.976671,2.053998,0,0,0,0,0,0,0,0,2.04910142062786,1.8122350255356927,NaN,5.358130871809875,6.1018652608915565,0,2,120,0,0,2.391076979904191,2.4799510853775137,38.44029447105136,0,0,0,17.94,0,NaN,NaN,0,0,0,0,0,4,0,0,0,1,52.55778329427708,11851061,0,0,0,0,1,0,20,16,0,0,0.5,0.4735582076507286
1292596200,2.089331,2.102664,2.047332,2.090665,0,0,0,0,0,0,0,0,2.05305985675854,1.8213638771574734,NaN,5.119556664222965,6.002945262873878,0,2,121,0,0,2.4441916757224753,2.2099507462984014,37.580607009480765,0,0,0,17.39,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,54.419336782012046,12207267,0,0,0,0,1,0,20,16,0,0,0,0.4746484299361665
1292855400,2.109331,2.145998,2.083997,2.113331,0,0,0,0,0,0,0,0,2.058799965638679,1.8309365697096873,NaN,4.520748896691231,5.549202258711489,0,2,122,0,0,1.8998209779663533,2.2099507462984014,35.4580033546674,0,0,0,16.11,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,55.57965383282378,7849807,0,0,0,0,1,0,20,16,0,0,0,0.47544378402591236
1292941800,2.119998,2.179331,2.114005,2.150664,0,0,0,0,0,0,0,0,2.067548921292138,1.8414194362765828,NaN,6.916317731019434,4.770967958562909,0,2,123,0,2,1.7511678586008625,2.5363937150531677,44.21111531003609,0,0,0,16.41,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,57.498765595279,11665181,0,0,0,0,1,0,20,16,0,0,0,0.4756290787213988
1293028200,2.149998,2.190664,2.113331,2.175331,0,0,0,0,0,0,0,0,2.077813881169077,1.852367356398662,NaN,6.894700746823851,4.606381021135879,0,2,124,0,2,1.7315160547866961,2.5363937150531677,44.129588494500595,0,0,0,16.49001,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,58.76635381809767,12498852,0,0,0,0,1,0,20,16,0,0,0,0.47825271429047694
1293114600,2.083997,2.165331,1.994665,2.005998,0,0,1,0,0,0,0,0,2.0709742734386887,1.857404426680673,NaN,9.974199990196016,5.9207892509726845,1,2,125,0,2,4.531060821488665,2.5363937150531677,55.849636725450644,0,0,0,15.45,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,48.14984955781842,23356898,0,0,0,0,1,0,20,16,0,0,0,0.46347745194995466
1293460200,1.867998,1.905331,1.670665,1.703265,0,0,0,0,0,0,0,0,2.035954342635004,1.8523506749862249,NaN,14.31214956761384,6.304928535873806,5,2,126,0,5,4.8667005808845385,3.1443444805825873,71.06392057658455,0,0,0,16.47,0,NaN,NaN,0,2,0,0,0,2,0,0,1,0,35.72422018221542,139535059,0,0,1,0,1,0,20,16,0,0,1,0.4292817079489189
1293546600,1.723332,1.783332,1.666665,1.760665,0,0,0,0,0,0,0,0,2.009736310003099,1.8493445872817584,NaN,9.12707106202195,6.348021072231247,0,2,127,0,2,3.1529928485282745,3.1443444805825873,52.635189913188796,0,0,0,17.67,0,NaN,NaN,0,2,0,0,0,3,0,0,1,0,38.941623636380015,60848895,0,0,0,0,1,0,20,16,0,0,1,0.4279659351865601
1293633000,1.801998,1.867331,1.766665,1.848665,0,0,0,0,0,0,0,0,1.9943961852408991,1.8493223057315369,NaN,9.241117046751343,6.322180353022944,2,2,128,0,2,3.256671016464087,3.1443444805825873,53.069811357533915,0,0,0,17.52,0,NaN,NaN,0,2,0,0,0,4,0,0,1,0,43.60255851180208,49791499,0,0,0,0,1,0,20,16,0,0,1,0.42505726874218525
1293719400,1.846665,1.859997,1.758665,1.766665,0,0,0,0,0,0,0,0,1.9727075009322421,1.8466122301337815,NaN,9.424581707711772,5.12331455125636,2,2,129,0,2,3.423457071882659,3.1443444805825873,53.76797883385167,0,0,0,17.28,0,NaN,NaN,0,2,0,0,0,5,0,0,1,0,40.50014140521892,30616035,0,0,0,0,1,0,20,16,0,0,1,0.42116509472225283
1293805800,1.771332,1.816665,1.766665,1.775332,0,0,0,0,0,0,0,0,1.9539098341767904,1.8442751734080838,NaN,7.117304002916737,4.503048087232466,2,2,130,0,2,1.6396645579836624,2.83061180830428,44.97055709002234,0,0,0,17.52,0,NaN,NaN,0,2,0,0,0,0,0,0,0,1,40.97815540777316,21267726,0,0,0,0,1,0,20,16,0,0,0.5,0.4232476413022001
1294065000,1.789332,1.799991,1.726664,1.774665,0,0,0,0,0,0,0,0,1.9368388975885247,1.8419928726406056,NaN,7.8716027433972195,4.687022438476837,2,2,131,0,2,2.6196087789443046,2.5363937150531677,47.83882373200839,0,0,0,17.75,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,40.950888886143034,19261279,0,0,0,0,1,0,20,16,0,0,0,0.42326980259855945
1294151400,1.777332,1.796665,1.734665,1.777998,0,0,0,0,0,0,0,0,1.9217111930562842,1.839894680095012,NaN,6.723883026901186,4.574159738441972,2,2,132,0,2,1.5762272184933641,2.5363937150531677,43.486509665305114,0,0,0,17.61,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,41.161573367669284,17836082,0,0,0,0,1,0,20,16,0,0,0,0.42329705396658696
1294237800,1.765332,1.793331,1.745998,1.788665,0,0,0,0,0,0,0,0,1.9090401270509239,1.8382150184525525,NaN,7.1491138939070895,5.009054943334375,2,2,133,0,2,1.962800733953277,2.5363937150531677,45.090977668629016,0,0,0,17.38,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,41.87633923882165,21703056,0,0,0,0,1,0,20,16,0,0,0,0.4236515770866734
1294324200,1.788665,1.866665,1.787332,1.858665,0,0,0,0,0,0,0,0,1.904242495903217,1.8388855096508294,NaN,7.9111570583603426,5.78841727061611,2,2,134,0,2,2.655567247092598,2.5363937150531677,47.989792433818565,0,0,0,17.02,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,46.4717684482712,30918285,0,0,0,0,1,0,20,16,0,0,0,0.4219949257308229
1294410600,1.866665,1.905331,1.859997,1.882665,0,0,1,0,0,0,0,0,1.9021874962933867,1.8403209027770318,NaN,7.232492106735266,4.951849457408918,0,2,135,0,2,2.038599109251619,2.5363937150531677,45.4068864705501,0,0,0,17.39999,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,47.99006741660227,33743133,0,0,0,0,1,0,20,16,0,0,0,0.4220393180145298
1294669800,1.877998,1.911997,1.869998,1.896665,0,0,0,0,0,0,0,0,1.9016615442654452,1.8421682502269652,NaN,6.675125465647741,4.381815392660313,0,2,136,0,2,1.5319021628084148,2.5363937150531677,43.303343400760625,0,0,0,17.14,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,48.90059214748749,20142200,0,0,0,0,1,0,20,16,0,0,0,0.42206055830116196
1294756200,1.905998,1.913999,1.794665,1.797332,0,0,0,0,0,0,0,0,1.8917253971925456,1.8406982092359172,NaN,9.021790144501868,5.2973937156092425,0,2,137,0,2,3.66523368903944,2.5363937150531677,52.233615247978825,0,0,0,17.53999,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,43.13099919650808,25670350,0,0,0,0,1,0,20,16,0,0,0,0.4172123534409549
1294842600,1.800664,1.826598,1.767998,1.797332,0,0,0,0,0,0,0,0,1.8827355498408747,1.8392763663101495,NaN,4.841837412177367,4.001424654451387,0,2,138,0,0,1.8652766596535297,2.5363937150531677,36.5896626771199,0,0,0,16.89,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,43.13099919650807,14470844,0,0,0,0,1,0,20,16,0,0,0,0.41782303871433885
1294929000,1.797332,1.797998,1.743998,1.747998,0,0,0,0,0,0,0,0,1.8699034022369818,1.8362836329885053,NaN,7.728133129862251,4.570800158077853,0,2,139,0,2,2.6560759702458436,2.3694996023562016,47.291588290177124,0,0,0,16.24001,0,NaN,NaN,0,2,0,0,0,2,0,0,0,0,40.38634430934042,10852840,0,0,0,0,1,0,20,16,0,0,0,0.41647972394348076
1295015400,1.743331,1.771998,1.707332,1.716665,0,0,0,0,0,0,0,0,1.8553092686906025,1.8323617105954395,NaN,7.192731799494873,4.220355650928298,0,2,140,0,2,2.1693474880936825,2.3694996023562016,45.25619230856455,0,0,0,16.39,0,NaN,NaN,0,2,0,0,0,3,0,0,0,0,38.70184727000913,17881832,0,0,0,0,1,0,20,16,0,0,0,0.41659285805897955
1295361000,1.698665,1.709332,1.649998,1.709332,0,0,0,0,0,0,0,0,1.84140667167245,1.8283279495923104,NaN,7.332434010741096,5.241818645108057,2,2,141,0,2,2.296349498317521,2.3694996023562016,45.786038577159275,0,0,0,15.46,0,NaN,NaN,0,2,0,0,0,4,0,0,0,0,38.29923207236343,24357609,0,0,0,0,1,0,20,16,0,0,0,0.4164706006957275
1295447400,1.684665,1.697998,1.583332,1.601998,0,0,0,0,0,0,0,0,1.8186058457988834,1.8209072955073167,NaN,9.957466797716776,5.609299723132968,2,2,1,0,2,4.098436477266835,2.953806066112051,55.786525305890365,0,0,0,15.87,0,NaN,NaN,0,2,0,0,0,5,0,0,1,0,32.90360136803595,35572745,0,0,0,0,1,0,20,16,0,0,1,0.40993045236220793
1295533800,1.601998,1.629998,1.491332,1.507998,0,0,0,0,0,0,0,0,1.7890241461989898,1.8106479743431423,NaN,11.695696160637441,4.846367481501011,2,2,2,0,5,3.0388083638891175,2.593642691235828,62.20692878448795,0,0,0,17.31,0,NaN,NaN,0,0,0,0,0,6,0,0,1,0,29.044460060757203,34199404,0,0,0,0,1,0,20,16,0,0,1,0.4045746791122094
1295620200,1.541332,1.572665,1.513999,1.535998,0,0,0,0,0,0,0,0,1.764926417989562,1.8016430571515638,NaN,7.139889362134232,6.188006258522532,3,4,3,0,2,3.3395677111355404,2.593642691235828,45.05605099119991,0,0,0,17.99001,0,NaN,NaN,0,0,0,0,0,7,0,0,1,0,31.617274780154062,18254133,0,0,0,0,1,0,20,16,0,0,1,0.40488402605821494
1295879400,1.568665,1.653998,1.548665,1.632666,0,0,0,0,0,0,0,0,1.7523301877048418,1.7961028257695453,NaN,6.786546588207383,6.968939550485354,3,4,4,0,2,2.946964628994596,2.593642691235828,43.72217697113419,0,0,0,18.47,0,NaN,NaN,0,0,0,0,0,8,0,0,1,0,39.74097169839123,24677859,0,0,0,0,1,0,20,16,0,0,1,0.4005599552478913
1295965800,1.643331,1.659332,1.601332,1.645331,0,0,0,0,0,0,0,0,1.7421397888758092,1.791159487219724,NaN,3.8726526064741784,5.98193082969415,3,4,5,0,0,1.987450295978832,2.3154970445480325,33.22370811200811,0,0,0,17.64999,0,NaN,NaN,0,0,0,0,0,0,0,0,0,1,40.734356376073194,19073374,0,0,0,0,1,0,20,16,0,0,0.5,0.4005759217403469
1296052200,1.647332,1.658665,1.606666,1.649998,0,0,0,0,0,0,0,0,1.7333643804114465,1.7865312417371102,NaN,3.5297572967969213,5.383809478478775,3,4,6,0,0,1.5524529496403774,2.3694996023562016,32.070682479482066,0,0,0,17.59,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,41.119554100748054,16198021,0,0,0,0,1,0,20,16,0,0,0,0.4015651226337634
1296138600,1.649332,1.671998,1.635332,1.661332,0,0,0,0,0,0,0,0,1.7265041537055945,1.7824263485654017,NaN,3.2766038393441215,4.997047251814776,3,4,7,0,0,1.2711713302483778,2.3694996023562016,31.233151451014766,0,0,0,16.64,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,42.10370472720489,13434838,0,0,0,0,1,0,20,16,0,0,0,0.402279038432187
1296225000,1.658665,1.658665,1.583332,1.600664,0,0,0,0,0,0,0,0,1.7145193771622045,1.7764669273009623,NaN,5.047400680839504,6.099263243915092,1,4,8,0,0,3.2387233763543586,2.3694996023562016,37.322103639181286,0,0,0,16.14999,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,38.40352572874997,15732180,0,0,0,0,1,0,20,16,0,0,0,0.40028488080571284
1296484200,1.603332,1.607998,1.566665,1.606666,0,0,0,0,0,0,0,0,1.7042476269562803,1.770899683782898,NaN,3.1491778903842227,4.898629078170687,1,4,9,0,0,1.4412842854930195,2.057802259378339,30.81612519744085,0,0,0,20.03999,0,NaN,NaN,0,0,0,0,0,2,0,0,0,0,38.974914648514805,12473637,0,0,0,0,1,0,20,16,0,0,0,0.400896451338639
1296570600,1.620665,1.648665,1.569331,1.593998,0,0,0,0,0,0,0,0,1.6937476624842536,1.7650996285769014,NaN,4.36806548714408,5.376994562572392,1,4,10,0,0,2.795603837448417,2.057802259378339,34.925446031936616,0,0,0,19.53,0,NaN,NaN,0,0,0,0,0,3,0,0,0,0,38.170099759606686,10616875,0,0,0,0,1,0,20,16,0,0,0,0.43095940680672146
1296657000,1.610665,1.611998,1.577932,1.595998,0,0,0,0,0,0,0,0,1.6844381708190865,1.7595553128858554,NaN,3.9481998235043627,5.298782734119028,1,4,11,0,0,2.3290864334042856,2.057802259378339,33.48053256672841,0,0,0,17.63,0,NaN,NaN,0,0,0,0,0,4,0,0,0,0,38.38641838219327,8542088,0,0,0,0,1,0,20,16,0,0,0,0.43156365979247313
1296743400,1.587999,1.593331,1.543331,1.575332,0,0,0,0,0,0,0,0,1.6740471069315546,1.753515204266647,NaN,4.1645015015036595,5.089117227168935,3,4,12,0,0,2.0908301755064533,2.5363937150531677,34.22124683628907,0,0,0,17.3,0,NaN,NaN,0,2,0,0,0,5,0,0,0,0,36.94796114978107,7681012,0,0,0,0,1,0,20,16,0,0,0,0.43205100631113574
1296829800,1.562665,1.577998,1.547998,1.563999,0,0,0,0,0,0,0,0,1.6635663348428351,1.7473015582251177,NaN,5.608867446480564,5.580748357759345,1,4,13,0,2,1.6956812254807916,2.5363937150531677,39.35164742936625,0,0,0,16.69,0,NaN,NaN,0,2,0,0,0,6,0,0,0,0,36.14798578771094,8158763,0,0,0,0,1,0,20,16,0,0,0,0.4322985392241008
1297089000,1.550664,1.550664,1.525332,1.537999,0,0,0,0,0,0,0,0,1.6516075410482793,1.7404391792669172,NaN,6.242348511452446,5.534930441285196,3,4,14,0,2,2.399549075449551,2.5363937150531677,41.6861042554441,0,0,0,15.93,0,NaN,NaN,0,2,0,0,0,7,0,0,0,0,34.31249754628695,13425178,0,0,0,0,1,0,20,16,0,0,0,0.512995515134394
1297175400,1.585332,1.683332,1.533332,1.632666,0,0,0,0,0,1,0,0,1.649803584757967,1.7369056324057068,NaN,7.421172725827276,8.3495480900946,1,4,15,0,2,3.70935375808825,2.5363937150531677,46.12309984196044,0,0,0,16.28,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,45.219458840021446,52577797.00000001,0,0,0,0,1,0,20,16,0,0,0,0.5067789023831721
