time,open,high,low,close,EXTREME BUY,STRONG BUY,BUY,EXTREME SELL,STRONG SELL,SELL,FTD Progress,HIGH RISK,EMA20,EMA60,SMA200,Bottom Score,Top Score,Risk Score,Stage,Stage Count (v19.1: Hysteresis Test),Trend Score,Momentum Score,Volatility Score,Context Score,Buy Probability (%),FTD Rally Day,FTD Confirmed,FTD Candidate,VIX,VIX Score,Distance from 52W Low (%),Distance from 52W High (%),Risk-Reward Score,Sentiment Score,Liquidity Score,Recession Score,Safe Haven Score,TD Buy Count,TD Buy 9,TD Buy 13+,WVF Extreme,WVF Filtered,RSI,Volume,Buy Extreme Signal,Buy Strong Signal,Buy Moderate Signal,Risk High Signal,VIX Regime (0=LOW/1=NORMAL/2=HIGH),VIX Regime Adjust,EXTREME BUY Threshold,STRONG BUY Threshold,FTD Score (v19: 1.0pt),TD Score (v19: 5.0pt),WVF Score (v19: 1.0pt),TD Volatility Weight
1607524200,10,10.15,9.9,9.95,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.464770406597926,4.102856892916485,0,2,1,0,0,2.5984734945510035,2.3694996023562016,38.82694721949553,0,0,0,20.68,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,12783,0,0,0,0,1,0,23,19,0,0,0,NaN
1607610600,10.25,10.25,10,10,0,0,0,0,0,0,0,0,NaN,NaN,NaN,7.389756670914725,5.362847902287481,0,2,2,0,0,4.348461007566275,2.3694996023562016,46.00372831804462,0,0,0,22.27,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,3033,0,0,0,0,1,0,23,19,0,0,0,NaN
1607697000,10.1,10.635,10.04,10.13,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.440846321027515,5.130770843421722,0,2,3,0,0,2.5767243258506305,2.3694996023562016,38.74007908729597,0,0,0,22.52,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,170603,0,0,0,0,1,0,23,19,0,0,0,NaN
1607956200,10.15,10.4016,10.15,10.18,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.014644692228913,4.694882813968605,0,2,4,0,0,2.1892682996700827,2.3694996023562016,37.20499085090018,0,0,0,23.31,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,134086,0,0,0,0,1,0,23,19,0,0,0,NaN
1608042600,10.28,10.28,10.025,10.07,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.787653459173605,4.968743981875111,0,2,5,0,0,3.801094451437984,2.3694996023562016,43.72634231063158,0,0,0,24.72,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,129260,0,0,0,0,1,0,23,19,0,0,0,NaN
1608129000,10.127,10.19,10.05,10.09,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.877337254391328,4.372900647835802,0,2,6,0,0,2.9735342652722774,2.3694996023562016,40.3357237085384,0,0,0,22.89,0,NaN,NaN,0,2,0,0,0,0,0,0,0,0,NaN,129009,0,0,0,0,1,0,23,19,0,0,0,NaN
1608215400,10.1,10.1451,10.05,10.05,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.5421577332439975,4.153510415812096,0,2,7,0,0,2.668825609683796,2.3694996023562016,39.10842399714575,0,0,0,22.5,0,NaN,NaN,0,2,0,0,0,1,0,0,0,0,NaN,25821,0,0,0,0,1,0,23,19,0,0,0,NaN
1608301800,10.1,10.12,10.01,10.06,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.206184926925074,4.342595554898137,0,2,8,0,0,2.9314438584144096,2.710542438790203,41.55172141772371,0,0,0,21.93,0,NaN,NaN,0,2,0,2,0,2,0,0,0,0,NaN,42298,0,0,0,0,1,0,23,19,0,0,0,NaN
1608561000,10.13,10.14,10,10.05,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.33760954494546,4.428618941238755,0,2,9,0,0,3.050920783887488,2.710542438790203,42.04067838428271,0,0,0,21.57,0,NaN,NaN,0,2,0,2,0,3,0,0,0,0,NaN,144165,0,0,0,0,1,0,23,19,0,0,0,NaN
1608647400,10.1,10.82,10.095,10.47,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.69334358453939,4.627255144241531,0,2,10,0,0,2.345155086731528,2.83061180830428,39.66040493941083,0,0,0,25.16,1,NaN,NaN,0,2,0,2,0,0,0,0,0,0,NaN,185480,0,0,0,0,1,0,23,19,0,0,0,NaN
1608733800,10.48,10.65,10.27,10.35,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.914536198592355,4.151698205443994,0,2,11,0,0,2.66630865083921,2.710542438790203,40.47271161955668,0,0,0,24.23,0,NaN,NaN,0,2,0,2,0,0,0,0,0,0,NaN,235420,0,0,0,0,1,0,23,19,0,0,0,NaN
1608820200,10.48,10.52,10.11,10.2499,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.669285069646455,4.645715648315769,0,2,12,0,0,3.3524439881611197,2.710542438790203,43.28141510425107,0,0,0,23.31,0,NaN,NaN,0,2,0,2,0,0,0,0,0,0,NaN,173747,0,0,0,0,1,0,23,19,0,0,0,NaN
1609165800,10.4,10.59,10.35,10.44,0,0,0,0,0,0,0,0,NaN,NaN,NaN,6.019602620117148,5.339007503775139,0,2,13,0,0,2.761823579498113,2.710542438790203,40.86042257834432,0,0,0,21.53,0,NaN,NaN,0,2,0,2,0,0,0,0,0,0,NaN,387616,0,0,0,0,1,0,23,19,0,0,0,NaN
1609252200,10.44,10.44,10.11,10.22,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.885633923163305,4.132780352435888,0,2,14,0,0,2.640033854994619,2.710542438790203,40.36626384060062,0,0,0,21.7,0,NaN,NaN,0,2,0,2,0,1,0,0,0,0,NaN,226567,0,0,0,0,1,0,23,19,0,0,0,NaN
1609338600,10.2,10.32,10.09,10.19,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.344399518797912,4.024068675447385,0,2,15,0,0,2.4890454147328085,2.3694996023562016,38.390612281805495,0,0,0,23.08,0,NaN,NaN,0,2,0,0,0,2,0,0,0,0,57.99893347553661,124724,0,0,0,0,1,0,23,19,0,0,0,NaN
1609425000,10.15,10.15,10.02,10.12,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.160763043288437,3.9038702551139104,0,2,16,0,0,2.3221031642696497,2.3694996023562016,37.72855058575587,0,0,0,22.77,0,NaN,NaN,0,2,0,0,0,3,0,0,0,0,55.223946178707784,183894,0,0,0,0,1,0,23,19,0,0,0,NaN
1609770600,10.12,10.15,10,10.09,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.278769730620727,3.735560153680747,0,2,17,0,0,2.0883391345013664,2.710542438790203,38.15348951643777,0,0,0,22.75,0,NaN,NaN,0,2,0,2,0,4,0,0,0,0,54.030809049882855,135110,0,0,0,0,1,0,23,19,0,0,0,NaN
1609857000,10.14,10.19,10.04,10.17,0,0,0,0,0,0,0,0,NaN,NaN,NaN,4.935887757640431,4.24707772547839,0,2,18,0,0,2.007219603386514,2.4799510853775137,36.92402675199079,0,0,0,26.97,1,NaN,NaN,0,2,0,0,0,5,0,0,0,0,56.71639912225073,105636,0,0,0,0,1,0,23,19,0,0,0,NaN
1609943400,10.17,10.17,9.95,10.05,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5.751542534728369,3.715561192420776,0,2,19,0,0,2.3980632232669645,2.83061180830428,39.87360209582157,0,0,0,25.34,1,NaN,NaN,0,2,0,2,0,6,0,0,0,0,51.82546295010583,273879,0,0,0,0,1,0,23,19,0,0,0,NaN
1610029800,10.12,10.14,10,10.11,0,0,0,0,0,0,0,0,10.151995,NaN,NaN,6.425493046426386,4.156692436441295,0,2,20,0,0,3.0107455066287967,2.83061180830428,42.36852325249469,0,0,0,25.07,1,NaN,NaN,0,2,0,2,0,7,0,0,0,0,53.96314767928482,229785,0,0,0,0,1,0,23,19,0,0,0,NaN
1610116200,10.1,10.17,10.05,10.13,0,0,0,0,0,0,0,0,10.149900238095238,NaN,NaN,4.779762273385764,4.454662158333566,0,2,21,0,0,1.975738827994492,2.3694996023562016,36.36967918930745,0,0,0,22.37,0,NaN,NaN,0,0,0,2,0,0,0,0,0,0,54.68497245067581,227024,0,0,0,0,1,0,23,19,0,0,0,NaN
1610375400,10.15,10.21,10.12,10.21,0,0,0,0,0,0,0,0,10.155624024943311,NaN,NaN,4.164673437768746,4.716364735759389,0,2,22,0,0,1.728264502229612,2.057802259378339,34.22183875283973,0,0,0,21.56,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,57.551976509103646,185532,0,0,0,0,1,0,23,19,0,0,0,NaN
1610461800,10.2,10.46,10.2,10.46,0,0,0,0,0,1,0,0,10.184612213043948,NaN,NaN,5.799182513631146,10.347910551252804,0,2,23,0,0,3.2141818439227023,2.057802259378339,40.04840577181534,0,0,0,24.08,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,65.00350427542253,429798,0,0,0,0,1,0,23,19,0,0,0,NaN
1610548200,10.5,10.68,10.48,10.57,0,0,0,0,0,0,0,0,10.221315811801668,NaN,NaN,5.041748286186117,5.973261909547659,0,2,24,0,0,2.525605273518131,2.057802259378339,37.30188392046136,0,0,0,23.33,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,67.69100540026483,323828,0,0,0,0,1,0,23,19,0,0,0,NaN
1610634600,10.71,10.71,10.45,10.591,0,0,0,0,0,0,0,0,10.25652382972532,NaN,NaN,6.1783060754666534,6.234431702485935,0,2,25,0,0,3.5588396274095278,2.057802259378339,41.44820999333603,0,0,0,22.21,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,68.19318102111464,253666,0,0,0,0,1,0,23,19,0,0,0,NaN
1610721000,10.64,10.69,10.3,10.46,0,0,0,0,0,0,0,0,10.275902512608623,NaN,NaN,6.031280508300869,4.698085591884291,0,2,26,0,0,3.4251800208951777,2.057802259378339,40.903586996459026,0,0,0,23.25,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,61.74589475087303,250734,0,0,0,0,1,0,23,19,0,0,0,NaN
1611066600,10.57,10.81,10.38,10.8,0,0,0,0,0,0,0,0,10.32581655902685,NaN,NaN,5.819683536942216,10.368877506911854,0,2,27,0,0,3.2328191378418576,2.057802259378339,40.12370775392442,0,0,0,24.34,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,69.74185474619168,476686,0,0,0,0,1,0,23,19,0,0,0,NaN
1611153000,10.89,11.07,10.65,10.9,0,0,0,0,0,1,0,0,10.380500696262388,NaN,NaN,5.704525267081498,10.251102003645208,0,2,28,0,0,3.1281298016048407,2.057802259378339,39.70133601070035,0,0,0,23.24,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,71.62073650834657,507743,0,0,0,0,1,0,23,19,0,0,0,NaN
1611239400,10.99,11.08,10.7,10.78,0,0,0,0,0,0,0,0,10.418548248999302,NaN,NaN,6.66367487378085,6.935504360901774,0,2,29,0,0,3.6883866465354798,2.3694996023562016,43.26035359309146,0,0,0,21.58,0,NaN,NaN,0,0,0,2,0,0,0,0,0,0,66.30039860032578,448662,0,0,0,0,1,0,23,19,0,0,0,NaN
